StockCode,gap_start,gap_end,gap_weeks,weeks_before,weeks_after
21677,2011-02-14,2011-02-28,3,53,33
21678,2010-12-13,2010-12-27,3,35,19
21678,2011-01-24,2011-02-28,6,38,16
21678,2011-03-14,2011-04-11,5,39,15
21678,2011-06-20,2011-07-04,3,44,10
21678,2011-08-15,2011-09-12,5,47,7
21678,2011-10-10,2011-10-24,3,50,4
21680,2011-06-13,2011-06-27,3,68,21
21681,2010-07-12,2010-08-02,4,24,14
21682,2011-04-25,2011-05-16,4,60,21
21683,2010-07-12,2010-07-26,3,28,48
21683,2010-08-23,2010-09-13,4,31,45
21683,2010-12-20,2011-01-10,4,43,33
21684,2010-08-23,2010-09-06,3,28,35
21684,2011-04-18,2011-05-16,5,45,18
21684,2011-06-27,2011-07-18,4,48,15
21686,2010-07-19,2010-10-04,12,8,20
21686,2010-10-18,2010-11-08,4,9,19
21686,2010-12-13,2011-01-03,4,12,16
21686,2011-02-14,2011-03-07,4,15,13
21686,2011-06-27,2011-08-08,7,23,5
21688,2010-03-15,2010-03-29,3,8,65
21688,2010-12-20,2011-01-03,3,41,32
21688,2011-04-18,2011-05-02,3,52,21
21689,2010-11-08,2010-11-29,4,21,21
21689,2010-12-20,2011-02-07,8,23,19
21689,2011-04-04,2011-04-18,3,28,14
21689,2011-07-04,2011-07-25,4,34,8
21689,2011-08-08,2011-09-12,6,35,7
21690,2010-08-16,2010-08-30,3,31,13
21691,2010-08-16,2010-09-06,4,30,5
21693,2010-12-20,2011-01-03,3,38,29
21693,2011-01-17,2011-01-31,3,39,28
21693,2011-07-04,2011-08-08,6,53,14
21694,2010-03-01,2010-04-05,6,8,39
21694,2010-08-23,2010-09-06,3,20,27
21694,2011-01-17,2011-03-07,8,33,14
21694,2011-04-11,2011-05-02,4,35,12
21694,2011-05-23,2011-06-13,4,37,10
21694,2011-07-25,2011-08-22,5,41,6
21694,2011-09-26,2011-10-17,4,43,4
21695,2010-03-15,2010-03-29,3,8,53
21695,2010-04-12,2010-04-26,3,9,52
21695,2010-07-19,2010-08-02,3,19,42
21695,2010-12-06,2010-12-27,4,33,28
21695,2011-05-16,2011-05-30,3,45,16
21695,2011-06-13,2011-07-11,5,46,15
21696,2010-02-15,2010-03-08,4,9,52
21696,2010-12-20,2011-01-10,4,40,21
21696,2011-05-23,2011-06-13,4,51,10
21696,2011-08-08,2011-09-12,6,56,5
21698,2010-12-20,2011-01-10,4,38,25
21698,2011-02-07,2011-03-07,5,40,23
21698,2011-04-04,2011-04-18,3,42,21
21698,2011-05-02,2011-05-30,5,43,20
21700,2011-09-12,2011-10-03,4,91,5
21706,2011-04-18,2011-05-02,3,63,30
21707,2010-05-31,2010-06-14,3,19,53
21707,2011-04-18,2011-05-30,7,49,23
21708,2010-06-07,2010-06-21,3,19,46
21708,2010-07-26,2010-08-09,3,22,43
21708,2011-02-28,2011-03-14,3,41,24
21708,2011-03-28,2011-05-23,9,42,23
21709,2010-05-03,2010-05-17,3,16,52
21709,2011-04-04,2011-05-02,5,46,22
21709,2011-05-16,2011-05-30,3,47,21
21710,2011-02-07,2011-02-21,3,41,22
21710,2011-04-18,2011-05-16,5,45,18
21710,2011-05-30,2011-06-13,3,46,17
21711,2010-04-26,2010-05-10,3,12,36
21711,2010-05-31,2010-07-12,7,14,34
21711,2010-07-26,2010-08-16,4,15,33
21711,2010-09-27,2010-11-01,6,18,30
21711,2010-12-13,2010-12-27,3,23,25
21711,2011-02-07,2011-02-21,3,27,21
21711,2011-03-28,2011-05-02,6,29,19
21713,2010-10-18,2010-11-01,3,39,49
21717,2010-05-10,2010-05-24,3,20,23
21717,2010-06-14,2010-06-28,3,22,21
21717,2010-09-06,2010-10-18,7,28,15
21717,2010-12-20,2011-01-03,3,33,10
21718,2010-12-20,2011-01-03,3,50,44
21719,2011-05-16,2011-05-30,3,56,20
21720,2010-08-09,2010-08-23,3,25,20
21720,2010-12-13,2011-01-03,4,39,6
21720,2011-01-17,2011-02-07,4,40,5
21720,2011-02-21,2011-03-21,5,41,4
21721,2010-08-09,2010-08-23,3,29,29
21721,2011-02-28,2011-03-21,4,49,9
21721,2011-04-04,2011-04-25,4,50,8
21721,2011-06-13,2011-07-04,4,54,4
21722,2010-03-08,2010-04-19,7,9,42
21722,2010-06-21,2010-07-05,3,15,36
21722,2010-08-16,2010-08-30,3,19,32
21722,2010-12-27,2011-01-31,6,32,19
21722,2011-02-28,2011-03-21,4,34,17
21722,2011-04-11,2011-05-02,4,36,15
21722,2011-05-16,2011-06-06,4,37,14
21722,2011-07-25,2011-08-15,4,43,8
21722,2011-09-05,2011-10-17,7,45,6
21723,2010-05-24,2010-06-07,3,18,53
21723,2011-08-01,2011-08-22,4,62,9
21723,2011-09-12,2011-09-26,3,64,7
21723,2011-10-10,2011-10-24,3,65,6
21724,2011-08-29,2011-09-12,3,67,9
21725,2011-09-05,2011-09-19,3,76,4
21726,2011-02-07,2011-02-21,3,48,15
21726,2011-04-18,2011-05-30,7,53,10
21726,2011-07-04,2011-07-25,4,57,6
21726,2011-08-08,2011-09-19,7,58,5
21730,2010-03-15,2010-06-21,15,13,57
21730,2010-07-05,2010-07-19,3,14,56
21735,2010-06-21,2010-09-13,13,28,45
21736,2010-05-31,2010-07-05,6,8,16
21736,2010-07-19,2010-08-02,3,9,15
21736,2010-12-13,2011-01-10,5,20,4
21738,2010-04-05,2010-05-03,5,11,33
21738,2010-05-31,2010-06-28,5,13,31
21738,2011-01-17,2011-02-07,4,35,9
21738,2011-03-14,2011-04-04,4,39,5
21738,2011-04-18,2011-07-18,14,40,4
21739,2010-04-05,2010-04-19,3,10,52
21739,2010-12-27,2011-01-24,5,35,27
21739,2011-03-07,2011-06-13,15,39,23
21741,2010-12-20,2011-01-03,3,45,18
21741,2011-02-28,2011-05-23,13,49,14
21741,2011-06-20,2011-07-04,3,51,12
21742,2011-06-13,2011-06-27,3,61,22
21743,2010-05-10,2010-05-24,3,9,46
21743,2010-12-27,2011-01-10,3,34,21
21743,2011-01-24,2011-02-07,3,35,20
21743,2011-03-14,2011-03-28,3,39,16
21744,2010-12-27,2011-01-24,5,25,19
21744,2011-02-07,2011-02-28,4,26,18
21744,2011-03-14,2011-06-27,16,27,17
21747,2010-08-23,2010-09-13,4,34,34
21747,2010-10-04,2010-11-01,5,36,32
21747,2010-12-20,2011-01-03,3,40,28
21749,2011-09-05,2011-09-19,3,82,8
21750,2010-07-05,2010-07-19,3,18,24
21750,2010-10-04,2010-11-01,5,23,19
21750,2010-11-15,2010-11-29,3,24,18
21750,2010-12-13,2011-03-07,13,25,17
21756,2010-06-07,2010-10-25,21,26,57
21757,2010-04-05,2010-11-01,31,15,5
21758,2010-08-09,2010-08-23,3,23,31
21758,2010-12-13,2011-01-17,6,33,21
21758,2011-03-28,2011-04-11,3,39,15
21758,2011-05-16,2011-05-30,3,41,13
21758,2011-08-15,2011-09-26,7,48,6
21761,2010-12-06,2011-01-10,6,12,8
21761,2011-02-07,2011-03-21,7,14,6
21761,2011-04-04,2011-05-02,5,15,5
21761,2011-05-16,2011-08-08,13,16,4
21763,2010-05-31,2010-08-02,10,9,6
21763,2010-08-30,2010-12-27,18,11,4
21768,2010-03-08,2010-07-05,18,13,18
21769,2010-05-17,2010-05-31,3,16,18
21770,2010-04-05,2010-07-05,14,17,48
21770,2010-09-06,2010-09-20,3,25,40
21770,2010-10-04,2010-11-15,7,26,39
21770,2010-11-29,2011-03-14,16,27,38
21777,2010-07-26,2010-08-09,3,33,17
21784,2011-04-18,2011-05-02,3,59,9
21788,2010-12-27,2011-01-10,3,51,34
21788,2011-04-04,2011-04-25,4,57,28
21789,2010-12-27,2011-01-10,3,49,33
21789,2011-03-07,2011-03-21,3,54,28
21789,2011-04-04,2011-04-25,4,55,27
21792,2010-08-09,2010-08-23,3,23,37
21792,2010-09-06,2010-09-20,3,24,36
21793,2010-05-10,2010-05-24,3,10,44
21793,2010-06-28,2010-09-13,12,14,40
21793,2010-10-11,2010-10-25,3,17,37
21793,2011-01-10,2011-02-07,5,23,31
21793,2011-03-07,2011-03-21,3,25,29
21794,2010-07-05,2010-07-26,4,20,50
21801,2010-06-07,2010-07-12,6,8,50
21801,2011-03-07,2011-03-28,4,36,22
21801,2011-05-09,2011-05-30,4,39,19
21802,2011-05-16,2011-05-30,3,42,23
21803,2011-03-07,2011-03-28,4,32,27
21803,2011-05-09,2011-05-30,4,35,24
21804,2010-12-27,2011-08-29,36,22,13
21806,2010-03-22,2010-05-03,7,8,24
21806,2010-05-17,2010-06-07,4,9,23
21807,2010-06-07,2010-06-28,4,8,34
21807,2010-12-27,2011-06-13,25,31,11
21807,2011-08-08,2011-08-29,4,34,8
21808,2010-08-16,2010-08-30,3,9,28
21808,2010-12-20,2011-01-31,7,23,14
21808,2011-02-14,2011-06-27,20,24,13
21808,2011-07-11,2011-09-05,9,25,12
21809,2011-01-17,2011-05-23,19,28,17
21809,2011-06-06,2011-07-11,6,29,16
21809,2011-08-08,2011-08-22,3,31,14
21810,2011-01-17,2011-04-25,15,25,18
21810,2011-05-23,2011-06-27,6,27,16
21810,2011-07-25,2011-08-22,5,29,14
21811,2010-03-08,2010-03-22,3,8,69
21811,2010-04-12,2010-05-03,4,10,67
21812,2010-03-15,2010-04-26,7,8,57
21812,2010-12-20,2011-01-03,3,35,30
21812,2011-05-16,2011-06-06,4,47,18
21812,2011-06-27,2011-07-11,3,49,16
21812,2011-07-25,2011-08-15,4,50,15
21813,2010-08-30,2010-09-13,3,9,34
21813,2010-12-27,2011-02-21,9,23,20
21813,2011-03-07,2011-05-02,9,24,19
21813,2011-05-23,2011-07-11,8,26,17
21813,2011-07-25,2011-08-08,3,27,16
21814,2010-03-08,2010-03-29,4,10,32
21814,2010-04-19,2010-05-17,5,12,30
21814,2010-05-31,2010-06-14,3,13,29
21814,2010-12-13,2011-01-24,7,34,8
21814,2011-02-07,2011-04-18,11,35,7
21814,2011-05-02,2011-09-05,19,36,6
21814,2011-10-10,2011-10-24,3,38,4
21815,2011-02-07,2011-04-18,11,28,8
21815,2011-05-02,2011-08-15,16,29,7
21815,2011-09-12,2011-09-26,3,31,5
21816,2010-12-06,2011-08-29,39,19,5
21816,2011-09-12,2011-09-26,3,20,4
21817,2010-12-27,2011-07-11,29,21,11
21817,2011-08-01,2011-09-05,6,23,9
21818,2010-04-12,2010-05-03,4,8,55
21818,2010-05-17,2010-05-31,3,9,54
21818,2010-06-14,2010-07-05,4,10,53
21818,2010-12-27,2011-01-10,3,32,31
21818,2011-04-25,2011-05-09,3,41,22
21818,2011-05-30,2011-06-27,5,43,20
21819,2011-01-10,2011-06-20,24,26,17
21819,2011-08-22,2011-09-05,3,30,13
21820,2010-05-17,2010-05-31,3,8,52
21820,2010-06-14,2010-07-05,4,9,51
21820,2011-04-25,2011-05-23,5,40,20
21820,2011-06-06,2011-06-27,4,41,19
21821,2011-01-17,2011-07-18,27,23,17
21822,2010-12-27,2011-09-05,37,20,13
21823,2010-12-20,2011-01-03,3,28,19
21823,2011-01-17,2011-02-14,5,29,18
21823,2011-02-28,2011-03-14,3,30,17
21823,2011-03-28,2011-05-09,7,31,16
21823,2011-05-23,2011-06-13,4,32,15
21823,2011-07-11,2011-07-25,3,34,13
21824,2010-12-20,2011-01-03,3,26,15
21824,2011-01-17,2011-06-27,24,27,14
21824,2011-07-11,2011-07-25,3,28,13
21824,2011-08-08,2011-08-22,3,29,12
21826,2010-12-20,2011-01-03,3,53,8
21828,2010-12-13,2010-12-27,3,42,39
21836,2010-04-12,2010-04-26,3,15,24
21836,2010-07-26,2010-08-09,3,24,15
21839,2010-02-08,2010-02-22,3,8,30
21839,2010-09-20,2010-10-04,3,34,4
21841,2010-06-14,2010-06-28,3,21,34
21841,2010-12-06,2011-02-28,13,42,13
21841,2011-03-14,2011-06-13,14,43,12
21841,2011-07-18,2011-08-22,6,45,10
21845,2010-10-11,2010-10-25,3,36,42
21846,2011-04-25,2011-05-30,6,64,18
21846,2011-09-26,2011-10-10,3,74,8
21847,2010-04-12,2010-06-07,9,9,31
21847,2010-07-19,2010-08-16,5,12,28
21847,2010-08-30,2010-09-13,3,13,27
21847,2011-01-24,2011-02-07,3,29,11
21847,2011-02-21,2011-03-21,5,30,10
21847,2011-04-11,2011-06-27,12,32,8
21847,2011-08-01,2011-08-29,5,36,4
21849,2010-04-12,2010-05-10,5,13,48
21849,2010-08-30,2010-09-27,5,26,35
21849,2011-02-21,2011-03-14,4,43,18
21849,2011-04-11,2011-04-25,3,46,15
21849,2011-05-09,2011-05-30,4,47,14
21849,2011-08-01,2011-08-22,4,54,7
21849,2011-09-12,2011-10-03,4,56,5
21849,2011-10-17,2011-10-31,3,57,4
21850,2010-04-12,2010-05-03,4,12,37
21850,2010-05-17,2010-05-31,3,13,36
21850,2010-06-28,2010-07-19,4,16,33
21850,2010-08-02,2010-08-16,3,17,32
21850,2010-12-20,2011-01-10,4,28,21
21850,2011-02-14,2011-02-28,3,31,18
21850,2011-04-04,2011-05-30,9,33,16
21850,2011-08-15,2011-08-29,3,39,10
21850,2011-09-12,2011-10-03,4,40,9
21851,2010-07-19,2010-08-16,5,22,39
21851,2010-12-20,2011-01-10,4,38,23
21851,2011-04-11,2011-05-09,5,46,15
21851,2011-05-23,2011-06-13,4,47,14
21851,2011-07-25,2011-08-08,3,52,9
21865,2010-12-27,2011-01-10,3,54,39
21867,2010-12-20,2011-01-10,4,50,42
21868,2011-08-15,2011-08-29,3,85,9
21868,2011-10-03,2011-10-24,4,88,6
21871,2010-06-07,2010-07-05,5,26,69
21871,2010-07-19,2010-08-02,3,27,68
21879,2010-02-15,2010-03-08,4,10,45
21879,2010-06-07,2010-06-28,4,18,37
21879,2010-07-26,2010-08-23,5,20,35
21879,2011-02-21,2011-03-07,3,39,16
21879,2011-03-21,2011-04-04,3,40,15
21879,2011-04-18,2011-05-02,3,41,14
21879,2011-05-16,2011-06-06,4,42,13
21879,2011-08-15,2011-08-29,3,48,7
21879,2011-09-12,2011-09-26,3,49,6
21880,2010-02-22,2010-03-08,3,11,83
21881,2010-03-15,2010-04-12,5,9,50
21881,2010-07-12,2010-08-02,4,17,42
21881,2010-08-30,2010-09-13,3,20,39
21881,2011-01-31,2011-02-14,3,35,24
21881,2011-02-28,2011-03-14,3,36,23
21881,2011-09-05,2011-09-26,4,50,9
21882,2010-04-12,2010-05-03,4,12,51
21882,2010-07-26,2010-09-13,8,21,42
21882,2011-01-24,2011-02-21,5,37,26
21882,2011-03-21,2011-04-11,4,39,24
21883,2010-03-22,2010-04-05,3,12,67
21883,2010-04-26,2010-05-10,3,14,65
21883,2011-06-27,2011-07-18,4,61,18
21884,2010-07-19,2010-08-09,4,28,48
21884,2011-09-12,2011-09-26,3,67,9
21891,2010-02-15,2010-03-15,5,10,84
21891,2010-03-29,2010-04-19,4,11,83
21895,2010-06-28,2010-07-12,3,24,12
21895,2010-08-23,2010-09-27,6,27,9
21896,2011-09-26,2011-10-17,4,86,6
21897,2010-08-23,2010-09-06,3,33,10
21898,2010-09-06,2010-09-20,3,32,12
21898,2010-11-15,2011-02-07,13,37,7
21904,2011-01-10,2011-01-31,4,46,11
21925,2010-08-23,2010-09-06,3,18,45
21925,2010-12-06,2011-01-10,6,27,36
21926,2010-07-19,2010-08-02,3,15,46
21926,2010-11-29,2011-01-10,7,26,35
21926,2011-10-03,2011-10-17,3,56,5
21927,2010-07-19,2010-08-02,3,15,51
21927,2010-08-23,2010-09-13,4,17,49
21927,2010-12-06,2011-01-10,6,26,40
21927,2011-03-07,2011-04-04,5,32,34
21929,2010-05-03,2010-05-31,5,21,78
21932,2010-12-13,2010-12-27,3,48,46
21937,2010-12-13,2011-01-03,4,51,26
21942,2010-04-12,2010-04-26,3,14,56
21942,2011-03-21,2011-04-11,4,49,21
21942,2011-08-01,2011-09-05,6,60,10
21943,2010-12-20,2011-01-03,3,40,26
21943,2011-03-28,2011-04-11,3,47,19
21943,2011-08-01,2011-09-19,8,57,9
21944,2010-03-29,2010-04-26,5,13,55
21944,2011-01-31,2011-02-14,3,39,29
21944,2011-04-04,2011-05-02,5,43,25
21944,2011-05-30,2011-06-13,3,46,22
21945,2010-12-27,2011-01-10,3,47,26
21945,2011-01-31,2011-02-14,3,49,24
21945,2011-04-11,2011-05-02,4,53,20
21945,2011-06-06,2011-06-20,3,56,17
21945,2011-07-25,2011-08-29,6,60,13
21946,2010-09-06,2010-09-27,4,17,24
21946,2011-01-31,2011-02-28,5,27,14
21946,2011-03-28,2011-05-16,8,29,12
21946,2011-07-25,2011-09-19,9,35,6
21947,2011-08-15,2011-08-29,3,78,14
21949,2011-02-28,2011-03-14,3,56,28
21972,2011-02-07,2011-02-21,3,54,31
21973,2010-12-13,2010-12-27,3,52,23
21973,2011-01-17,2011-02-07,4,54,21
21973,2011-02-21,2011-03-21,5,55,20
21990,2010-06-14,2010-06-28,3,23,70
21991,2010-02-22,2010-04-19,9,10,66
21991,2010-05-03,2010-05-24,4,11,65
21991,2010-08-09,2010-09-06,5,17,59
21993,2010-05-31,2010-06-21,4,23,73
22021,2010-04-12,2010-11-15,32,15,15
22028,2010-04-26,2010-05-17,4,19,76
22030,2011-09-19,2011-10-31,7,92,5
22031,2010-08-23,2010-09-06,3,27,40
22031,2010-09-27,2010-10-18,4,29,38
22031,2011-03-21,2011-04-11,4,43,24
22031,2011-10-03,2011-10-17,3,61,6
22032,2010-07-26,2010-08-09,3,23,34
22032,2010-08-23,2010-09-06,3,24,33
22032,2010-10-04,2010-10-18,3,27,30
22032,2010-11-15,2010-12-06,4,29,28
22032,2011-01-24,2011-02-21,5,34,23
22032,2011-03-07,2011-03-21,3,35,22
22033,2010-08-23,2010-09-06,3,35,24
22033,2010-11-15,2010-12-06,4,42,17
22033,2011-01-24,2011-02-14,4,47,12
22033,2011-04-04,2011-05-09,6,52,7
22037,2010-02-22,2010-04-05,7,11,83
22038,2010-04-26,2010-05-10,3,9,29
22038,2010-06-21,2010-07-12,4,13,25
22038,2010-08-16,2010-08-30,3,15,23
22038,2010-10-04,2010-11-01,5,18,20
22038,2010-11-29,2011-01-24,9,20,18
22038,2011-02-21,2011-03-28,6,23,15
22038,2011-04-25,2011-05-09,3,25,13
22038,2011-08-01,2011-08-29,5,32,6
22038,2011-09-26,2011-10-17,4,34,4
22039,2010-08-16,2010-09-06,4,13,10
22039,2010-09-27,2010-10-18,4,15,8
22039,2010-11-15,2011-03-28,20,17,6
22039,2011-04-11,2011-04-25,3,18,5
22039,2011-05-09,2011-08-15,15,19,4
22040,2010-04-19,2010-05-10,4,16,45
22040,2011-02-28,2011-04-04,6,43,18
22042,2011-01-10,2011-04-04,13,22,16
22042,2011-04-25,2011-06-06,7,24,14
22042,2011-08-01,2011-08-29,5,28,10
22043,2010-12-27,2011-01-10,3,21,19
22043,2011-01-24,2011-06-06,20,22,18
22043,2011-07-25,2011-08-08,3,25,15
22044,2010-12-13,2011-07-11,31,16,11
22044,2011-07-25,2011-08-08,3,17,10
22048,2011-02-28,2011-03-21,4,45,20
22048,2011-05-30,2011-06-13,3,52,13
22048,2011-08-01,2011-08-22,4,57,8
22049,2010-12-27,2011-07-11,29,20,7
22049,2011-07-25,2011-08-29,6,21,6
22050,2011-02-07,2011-02-21,3,48,21
22050,2011-03-07,2011-03-21,3,49,20
22050,2011-04-25,2011-05-16,4,52,17
22051,2010-08-16,2010-08-30,3,29,39
22051,2011-01-24,2011-02-07,3,44,24
22051,2011-08-22,2011-09-19,5,61,7
22053,2010-06-14,2010-06-28,3,23,30
22053,2010-07-26,2010-08-09,3,25,28
22053,2010-12-13,2011-01-10,5,34,19
22053,2011-05-23,2011-06-13,4,48,5
22053,2011-06-27,2011-08-08,7,49,4
22056,2010-03-29,2010-04-19,4,11,7
22057,2010-12-13,2011-01-03,4,50,31
22057,2011-08-15,2011-09-12,5,72,9
22060,2011-02-14,2011-03-07,4,55,9
22061,2011-08-01,2011-08-22,4,84,15
22062,2010-10-25,2010-11-08,3,33,34
22062,2010-11-22,2010-12-06,3,34,33
22062,2011-02-14,2011-03-07,4,40,27
22063,2010-12-27,2011-01-10,3,53,42
22065,2010-04-05,2010-05-31,9,8,52
22065,2010-06-14,2010-07-05,4,9,51
22065,2010-12-20,2011-01-03,3,32,28
22065,2011-01-24,2011-03-14,8,34,26
22065,2011-04-04,2011-05-30,9,36,24
22066,2010-11-29,2010-12-13,3,41,45
22067,2011-05-16,2011-05-30,3,70,24
22070,2011-04-25,2011-05-23,5,65,22
22071,2011-05-09,2011-05-30,4,63,19
22071,2011-06-20,2011-07-11,4,65,17
22071,2011-07-25,2011-08-15,4,66,16
22075,2010-03-15,2010-04-05,4,12,56
22075,2010-05-10,2010-06-14,6,15,53
22075,2011-01-24,2011-02-14,4,43,25
22075,2011-03-14,2011-04-04,4,45,23
22075,2011-06-13,2011-07-25,7,51,17
22078,2011-05-09,2011-07-25,12,69,19
22080,2011-02-14,2011-07-04,21,60,20
22086,2011-01-24,2011-02-07,3,47,37
22086,2011-05-16,2011-05-30,3,57,27
22087,2011-05-16,2011-10-31,25,71,4
22091,2011-01-31,2011-02-14,3,51,37
22092,2010-03-08,2010-03-22,3,8,52
22092,2010-05-03,2010-05-24,4,12,48
22092,2010-07-05,2010-07-19,3,16,44
22092,2010-12-20,2011-01-24,6,32,28
22092,2011-03-14,2011-04-18,6,36,24
22092,2011-05-16,2011-06-27,7,39,21
22093,2010-06-21,2010-07-05,3,25,51
22093,2010-12-20,2011-02-07,8,44,32
22093,2011-03-07,2011-04-11,6,47,29
22094,2010-06-21,2010-07-12,4,27,66
22095,2011-03-07,2011-03-28,4,50,26
22095,2011-05-16,2011-05-30,3,54,22
22096,2010-04-26,2010-05-10,3,14,55
22096,2010-12-27,2011-01-24,5,39,30
22096,2011-05-30,2011-06-20,4,46,23
22097,2010-12-27,2011-01-10,3,47,41
22099,2011-04-25,2011-05-09,3,64,27
22100,2010-06-28,2010-07-19,4,21,42
22100,2011-01-24,2011-02-21,5,40,23
22100,2011-03-21,2011-04-11,4,42,21
22100,2011-05-02,2011-06-27,9,44,19
22101,2010-05-17,2010-05-31,3,11,53
22101,2010-08-09,2010-08-23,3,18,46
22101,2011-02-14,2011-02-28,3,37,27
22102,2010-05-10,2010-05-24,3,8,36
22102,2010-07-12,2010-08-02,4,13,31
22102,2010-10-11,2010-11-08,5,19,25
22102,2010-12-13,2010-12-27,3,22,22
22102,2011-01-31,2011-02-14,3,25,19
22102,2011-07-18,2011-08-29,7,38,6
22102,2011-09-12,2011-10-03,4,39,5
22103,2010-03-01,2010-03-15,3,8,43
22103,2010-08-02,2010-08-16,3,23,28
22103,2010-08-30,2010-09-13,3,24,27
22103,2010-11-29,2011-01-03,6,33,18
22103,2011-03-14,2011-04-04,4,39,12
22103,2011-05-23,2011-06-06,3,44,7
22103,2011-07-11,2011-08-01,4,46,5
22104,2010-03-29,2010-04-26,5,10,55
22104,2010-07-05,2010-08-02,5,15,50
22104,2010-09-06,2010-09-20,3,19,46
22104,2011-02-14,2011-03-14,5,37,28
22104,2011-07-25,2011-08-22,5,51,14
22105,2010-04-05,2010-05-17,7,8,32
22105,2010-05-31,2010-06-28,5,9,31
22105,2010-07-12,2010-09-06,9,10,30
22105,2010-10-18,2010-11-08,4,14,26
22105,2010-12-20,2011-01-03,3,18,22
22105,2011-02-14,2011-02-28,3,21,19
22105,2011-03-14,2011-03-28,3,22,18
22105,2011-07-18,2011-08-22,6,33,7
22106,2010-05-17,2010-06-07,4,8,43
22106,2010-07-12,2010-08-02,4,11,40
22106,2011-02-14,2011-02-28,3,27,24
22106,2011-05-30,2011-06-13,3,35,16
22106,2011-07-25,2011-08-08,3,39,12
22106,2011-09-05,2011-09-26,4,41,10
22108,2010-05-10,2010-05-24,3,11,48
22108,2011-02-28,2011-03-14,3,38,21
22108,2011-05-16,2011-05-30,3,43,16
22108,2011-06-27,2011-08-01,6,45,14
22108,2011-08-15,2011-09-05,4,46,13
22110,2010-05-31,2010-06-14,3,21,68
22110,2011-06-20,2011-07-04,3,68,21
22114,2011-03-14,2011-08-08,22,61,17
22116,2010-03-15,2010-04-12,5,12,65
22116,2010-06-21,2010-07-05,3,19,58
22116,2010-07-19,2010-08-02,3,20,57
22118,2011-01-24,2011-02-28,6,47,25
22118,2011-04-18,2011-05-16,5,50,22
22118,2011-05-30,2011-06-27,5,51,21
22119,2011-01-10,2011-01-24,3,51,32
22120,2010-03-01,2010-07-05,19,10,71
22121,2011-02-28,2011-03-28,5,34,23
22121,2011-05-02,2011-06-06,6,36,21
22123,2010-03-22,2010-04-19,5,10,65
22123,2010-08-16,2010-09-06,4,22,53
22123,2011-01-31,2011-02-14,3,38,37
22124,2011-01-31,2011-02-14,3,41,26
22124,2011-03-07,2011-03-21,3,43,24
22124,2011-04-25,2011-05-30,6,46,21
22129,2010-09-06,2010-09-20,3,32,40
22129,2010-12-13,2010-12-27,3,40,32
22129,2011-01-10,2011-01-31,4,41,31
22129,2011-07-11,2011-07-25,3,55,17
22130,2010-12-27,2011-01-31,6,39,25
22130,2011-03-07,2011-04-18,7,41,23
22130,2011-05-02,2011-06-13,7,42,22
22137,2010-03-22,2010-04-26,6,9,23
22137,2010-05-24,2010-06-07,3,11,21
22137,2010-06-21,2010-07-05,3,12,20
22137,2010-07-19,2010-08-09,4,13,19
22137,2010-12-06,2011-01-17,7,21,11
22137,2011-02-07,2011-02-21,3,23,9
22137,2011-04-18,2011-05-09,4,27,5
22138,2010-11-08,2010-11-22,3,48,51
22139,2010-02-08,2010-02-22,3,9,92
22141,2011-01-31,2011-03-07,6,13,27
22141,2011-03-21,2011-04-18,5,14,26
22141,2011-05-09,2011-06-06,5,16,24
22142,2010-12-27,2011-01-24,5,13,29
22142,2011-02-14,2011-02-28,3,15,27
22142,2011-04-04,2011-05-30,9,17,25
22143,2010-03-01,2010-04-26,9,10,16
22143,2010-05-24,2010-06-07,3,12,14
22143,2010-06-21,2010-07-05,3,13,13
22144,2011-02-14,2011-03-07,4,19,29
22144,2011-03-28,2011-05-09,7,21,27
22145,2010-05-10,2010-06-21,7,8,21
22146,2010-04-05,2010-06-14,11,14,5
22148,2010-04-05,2010-04-19,3,16,34
22148,2010-05-03,2010-06-14,7,17,33
22148,2010-06-28,2010-07-26,5,18,32
22148,2010-08-09,2010-08-30,4,19,31
22148,2010-09-13,2010-11-01,8,20,30
22148,2010-11-22,2010-12-13,4,22,28
22148,2011-05-16,2011-05-30,3,40,10
22148,2011-06-13,2011-06-27,3,41,9
22148,2011-08-08,2011-09-19,7,44,6
22152,2010-05-03,2010-05-24,4,13,62
22152,2011-05-30,2011-06-20,4,55,20
22153,2010-03-29,2010-04-12,3,10,48
22153,2010-04-26,2010-05-10,3,11,47
22153,2010-05-24,2010-06-28,6,12,46
22153,2011-01-10,2011-06-06,22,34,24
22154,2010-04-26,2010-06-28,10,8,49
22154,2011-02-21,2011-04-11,8,34,23
22154,2011-04-25,2011-06-06,7,35,22
22155,2010-04-26,2010-05-10,3,9,52
22155,2010-05-24,2010-06-07,3,10,51
22155,2010-06-21,2010-07-05,3,11,50
22155,2011-01-10,2011-01-31,4,34,27
22155,2011-02-14,2011-03-14,5,35,26
22155,2011-03-28,2011-04-11,3,36,25
22155,2011-04-25,2011-05-16,4,37,24
22162,2011-02-28,2011-03-21,4,53,15
22162,2011-05-23,2011-06-13,4,59,9
22162,2011-07-11,2011-08-01,4,61,7
22162,2011-08-15,2011-09-26,7,62,6
22163,2011-02-28,2011-03-21,4,44,21
22163,2011-05-16,2011-06-06,4,47,18
22164,2010-08-30,2010-09-13,3,10,21
22164,2011-01-17,2011-06-06,21,25,6
22164,2011-06-20,2011-08-22,10,26,5
22164,2011-09-05,2011-10-10,6,27,4
