StockCode,product,ABC,XYZ,class,revenue,units,weeks_active,cv,is_forecastable,revenue_rank,cumulative_revenue,cumulative_revenue_pct,sku_pct,policy_note
21742,LARGE ROUND WICKER PLATTER,B,Y,BY,2665.13,440,83,1.137,1,1452,17178706.86,87.203,30.737,Standard policy
22270,HAPPY EASTER HANGING DECORATION,B,Z,BZ,2664.92,692,57,2.063,1,1453,17181371.78,87.216,30.758,Erratic and mid-value — consider make-to-order
22500,SET OF 2 TINS JARDIN DE PROVENCE,B,Z,BZ,2660.96,585,82,1.844,1,1454,17184032.74,87.23,30.779,Erratic and mid-value — consider make-to-order
21897,POTTING SHED CANDLE CITRONELLA,B,Z,BZ,2659.06,872,43,4.102,1,1455,17186691.8,87.243,30.8,Erratic and mid-value — consider make-to-order
23146,TRIPLE HOOK ANTIQUE IVORY ROSE,B,Z,BZ,2655.13,801,34,1.822,1,1456,17189346.93,87.257,30.821,Erratic and mid-value — consider make-to-order
22152,PLACE SETTING WHITE STAR,B,Z,BZ,2653.2,6267,75,1.943,1,1457,17192000.13,87.27,30.843,Erratic and mid-value — consider make-to-order
22094,RED RETROSPOT TISSUE BOX,B,Z,BZ,2652.25,3563,93,2.142,1,1458,17194652.38,87.284,30.864,Erratic and mid-value — consider make-to-order
22713,CARD I LOVE LONDON,B,Y,BY,2651.4,6168,80,1.46,1,1459,17197303.78,87.297,30.885,Standard policy
72800E,4 IVORY DINNER CANDLES SILVER FLOCK,B,Z,BZ,2646.25,1409,88,1.565,1,1460,17199950.03,87.311,30.906,Erratic and mid-value — consider make-to-order
85049F,BABY BOOM RIBBONS,B,Y,BY,2642.75,2117,88,1.263,1,1461,17202592.78,87.324,30.927,Standard policy
22146,EASTER CRAFT IVY WREATH WITH CHICK,B,Z,BZ,2640.93,1417,19,4.341,0,1462,17205233.71,87.337,30.948,Erratic and mid-value — consider make-to-order
22376,AIRLINE BAG VINTAGE JET SET WHITE,B,Y,BY,2638.53,530,85,0.95,1,1463,17207872.24,87.351,30.97,Standard policy
22758,LARGE PURPLE BABUSHKA NOTEBOOK,B,Z,BZ,2637.1,2452,64,2.708,1,1464,17210509.34,87.364,30.991,Erratic and mid-value — consider make-to-order
84754,S/15 SILVER GLASS BAUBLES IN BAG,B,Z,BZ,2637.09,2085,48,2.207,1,1465,17213146.43,87.378,31.012,Erratic and mid-value — consider make-to-order
84012,MAGIC SHEEP WOOL GROWING FROM PAPER,B,Z,BZ,2633.57,1840,67,1.715,1,1466,17215780.0,87.391,31.033,Erratic and mid-value — consider make-to-order
82597,BOMBS AWAY METAL SIGN,B,Y,BY,2624.26,1236,46,1.494,1,1467,17218404.26,87.404,31.054,Standard policy
84849D,HOT BATHS SOAP HOLDER,B,Z,BZ,2621.65,1560,88,1.722,1,1468,17221025.91,87.418,31.075,Erratic and mid-value — consider make-to-order
23054,RECYCLED ACAPULCO MAT LAVENDER,B,Z,BZ,2621.43,297,35,1.787,1,1469,17223647.34,87.431,31.097,Erratic and mid-value — consider make-to-order
47585A,PINK FAIRY CAKE CUSHION COVER,B,Z,BZ,2620.38,1086,65,3.607,1,1470,17226267.72,87.444,31.118,Erratic and mid-value — consider make-to-order
84872A,TEATIME FUNKY FLOWER BACKPACK FOR 2,B,Z,BZ,2620.01,235,45,2.02,1,1471,17228887.73,87.457,31.139,Erratic and mid-value — consider make-to-order
85034B,3 WHITE CHOC MORRIS BOXED CANDLES,B,Z,BZ,2619.93,1188,47,2.471,1,1472,17231507.66,87.471,31.16,Erratic and mid-value — consider make-to-order
21422,PORCELAIN ROSE SMALL,B,Z,BZ,2619.17,3160,74,2.058,1,1473,17234126.83,87.484,31.181,Erratic and mid-value — consider make-to-order
72799E,IVORY PILLAR CANDLE SILVER FLOCK,B,Z,BZ,2615.39,1237,67,2.706,1,1474,17236742.22,87.497,31.202,Erratic and mid-value — consider make-to-order
22046,TEA PARTY  WRAPPING PAPER,B,Y,BY,2613.5,6375,91,0.958,1,1475,17239355.72,87.511,31.224,Standard policy
22439,6 ROCKET BALLOONS,B,Y,BY,2612.66,3912,83,0.976,1,1476,17241968.38,87.524,31.245,Standard policy
37502,TEA TIME MUG IN GIFT BOX,B,Z,BZ,2611.59,872,31,2.544,1,1477,17244579.97,87.537,31.266,Erratic and mid-value — consider make-to-order
85034C,3 ROSE MORRIS BOXED CANDLES,B,Z,BZ,2609.15,1318,55,2.607,1,1478,17247189.12,87.55,31.287,Erratic and mid-value — consider make-to-order
90062,CARNIVAL BRACELET,B,Z,BZ,2604.17,205,48,1.859,1,1479,17249793.29,87.564,31.308,Erratic and mid-value — consider make-to-order
85035B,CHOCOLATE 3 WICK MORRIS BOX CANDLE,B,Z,BZ,2602.86,995,54,3.973,1,1480,17252396.15,87.577,31.329,Erratic and mid-value — consider make-to-order
22190,LOCAL CAFE MUG,B,Z,BZ,2591.67,1400,79,1.685,1,1481,17254987.82,87.59,31.351,Erratic and mid-value — consider make-to-order
22933,BAKING MOULD EASTER EGG MILK CHOC,B,Z,BZ,2585.92,940,26,3.72,1,1482,17257573.74,87.603,31.372,Erratic and mid-value — consider make-to-order
21589,SWALLOW GIANT TUBE MATCHES,B,Z,BZ,2583.45,1119,27,2.605,1,1483,17260157.19,87.616,31.393,Erratic and mid-value — consider make-to-order
21818,GLITTER CHRISTMAS HEART,B,Z,BZ,2582.99,4236,63,1.83,1,1484,17262740.18,87.629,31.414,Erratic and mid-value — consider make-to-order
21171,BATHROOM METAL SIGN,B,Z,BZ,2581.17,1847,76,1.959,1,1485,17265321.35,87.642,31.435,Erratic and mid-value — consider make-to-order
21642,ASSORTED TUTTI FRUTTI PEN,B,Z,BZ,2578.87,4418,75,1.569,1,1486,17267900.22,87.656,31.456,Erratic and mid-value — consider make-to-order
21653,GLASS ETCHED T-LIGHT HOLDER LARGE,B,Z,BZ,2576.17,1251,41,2.486,1,1487,17270476.39,87.669,31.478,Erratic and mid-value — consider make-to-order
22471,TV DINNER TRAY AIR HOSTESS,B,Z,BZ,2573.71,628,70,1.953,1,1488,17273050.1,87.682,31.499,Erratic and mid-value — consider make-to-order
22937,BAKING MOULD CHOCOLATE CUPCAKES,B,Z,BZ,2568.34,974,41,1.971,1,1489,17275618.44,87.695,31.52,Erratic and mid-value — consider make-to-order
21288,STRIPEY CHOCOLATE NESTING BOXES,B,Z,BZ,2566.32,985,85,1.707,1,1490,17278184.76,87.708,31.541,Erratic and mid-value — consider make-to-order
22735,RIBBON REEL SOCKS AND MITTENS,B,Z,BZ,2566.13,1449,38,2.176,1,1491,17280750.89,87.721,31.562,Erratic and mid-value — consider make-to-order
22828,REGENCY MIRROR WITH SHUTTERS,B,Z,BZ,2565.0,17,10,3.509,0,1492,17283315.89,87.734,31.583,Erratic and mid-value — consider make-to-order
22342,HOME GARLAND PAINTED ZINC,B,Y,BY,2562.5,1842,93,1.241,1,1493,17285878.39,87.747,31.605,Standard policy
20960,WATERMELON BATH SPONGE,B,Z,BZ,2550.84,1900,56,1.87,1,1494,17288429.23,87.76,31.626,Erratic and mid-value — consider make-to-order
21898,POTTING SHED ROSE CANDLE,B,Z,BZ,2544.71,829,44,4.746,1,1495,17290973.94,87.773,31.647,Erratic and mid-value — consider make-to-order
21792,CLASSIC FRENCH STYLE BASKET GREEN,B,Z,BZ,2538.13,497,60,2.195,1,1496,17293512.07,87.786,31.668,Erratic and mid-value — consider make-to-order
21215,IVORY PAPER CUP CAKE CASES,B,Z,BZ,2537.73,4356,97,1.56,1,1497,17296049.8,87.798,31.689,Erratic and mid-value — consider make-to-order
20787,BLUE RETRO BAR STOOL,B,Z,BZ,2535.1,69,16,4.046,0,1498,17298584.9,87.811,31.71,Erratic and mid-value — consider make-to-order
21203,BUTTERFLIES  HONEYCOMB GARLAND,B,Z,BZ,2530.3,1541,35,2.616,1,1499,17301115.2,87.824,31.732,Erratic and mid-value — consider make-to-order
23424,GINGHAM RECIPE BOOK BOX,B,Z,BZ,2529.42,466,15,2.97,0,1500,17303644.62,87.837,31.753,Erratic and mid-value — consider make-to-order
23681,LUNCH BAG RED VINTAGE DOILY,B,Z,BZ,2526.69,1577,6,4.467,0,1501,17306171.31,87.85,31.774,Erratic and mid-value — consider make-to-order
21323,HANGING MEDINA LANTERN LARGE,B,Z,BZ,2523.89,744,27,5.188,1,1502,17308695.2,87.863,31.795,Erratic and mid-value — consider make-to-order
22415,WHITE TISSUE REAM,B,Z,BZ,2520.15,317,51,1.699,1,1503,17311215.35,87.875,31.816,Erratic and mid-value — consider make-to-order
21431,GREEN GINGHAM FLOWER JEWELLERY BOX,B,Z,BZ,2519.61,1488,45,1.836,1,1504,17313734.96,87.888,31.837,Erratic and mid-value — consider make-to-order
23316,RED REFECTORY CLOCK,B,Z,BZ,2511.59,251,25,2.129,0,1505,17316246.55,87.901,31.859,Erratic and mid-value — consider make-to-order
22153,ANGEL DECORATION STARS ON DRESS,B,Z,BZ,2511.58,5806,58,1.538,1,1506,17318758.13,87.914,31.88,Erratic and mid-value — consider make-to-order
85054,FRENCH ENAMEL POT W LID,B,Y,BY,2506.82,920,89,1.404,1,1507,17321264.95,87.926,31.901,Standard policy
82567,"AIRLINE LOUNGE,METAL SIGN",B,Y,BY,2505.28,1210,100,0.765,1,1508,17323770.23,87.939,31.922,Standard policy
85041,SET/4 PINK ORCHID CANDLES IN BOWL,B,Z,BZ,2498.12,1858,26,5.032,1,1509,17326268.35,87.952,31.943,Erratic and mid-value — consider make-to-order
23367,SET 12 COLOUR PENCILS SPACEBOY,B,Z,BZ,2495.75,3285,12,3.037,0,1510,17328764.1,87.964,31.964,Erratic and mid-value — consider make-to-order
21680,WOODLAND  STICKERS,B,Z,BZ,2493.88,2870,89,1.633,1,1511,17331257.98,87.977,31.986,Erratic and mid-value — consider make-to-order
22091,EMPIRE TISSUE BOX,B,Z,BZ,2492.73,3190,88,1.823,1,1512,17333750.71,87.99,32.007,Erratic and mid-value — consider make-to-order
84509B,SET OF 4 FAIRY CAKE PLACEMATS,B,Y,BY,2489.97,654,87,1.225,1,1513,17336240.68,88.002,32.028,Standard policy
22829,SWEETHEART WIRE WALL TIDY,B,Z,BZ,2488.47,243,46,1.606,1,1514,17338729.15,88.015,32.049,Erratic and mid-value — consider make-to-order
21924,BLUE/CREAM STRIPE FRINGE HAMMOCK,B,Z,BZ,2486.66,315,35,2.224,1,1515,17341215.81,88.028,32.07,Erratic and mid-value — consider make-to-order
85206B,PINK FELT EASTER EGG BASKET,B,Z,BZ,2485.55,1543,17,3.115,0,1516,17343701.36,88.04,32.091,Erratic and mid-value — consider make-to-order
22742,MAKE YOUR OWN PLAYTIME CARD KIT,B,Z,BZ,2484.94,1006,59,2.576,1,1517,17346186.3,88.053,32.113,Erratic and mid-value — consider make-to-order
20668,DISCO BALL CHRISTMAS DECORATION,B,Z,BZ,2475.04,21119,74,1.702,1,1518,17348661.34,88.065,32.134,Erratic and mid-value — consider make-to-order
85036A,GARDENIA 1 WICK MORRIS BOXED CANDLE,B,Z,BZ,2467.79,637,81,1.722,1,1519,17351129.13,88.078,32.155,Erratic and mid-value — consider make-to-order
22676,FRENCH BLUE METAL DOOR SIGN 1,B,Y,BY,2467.48,1832,68,1.279,1,1520,17353596.61,88.091,32.176,Standard policy
22852,DOG BOWL VINTAGE CREAM,B,Z,BZ,2467.11,565,55,1.576,1,1521,17356063.72,88.103,32.197,Erratic and mid-value — consider make-to-order
22789,T-LIGHT HOLDER SWEETHEART HANGING,B,Z,BZ,2466.34,1262,53,1.671,1,1522,17358530.06,88.116,32.218,Erratic and mid-value — consider make-to-order
23352,ROLL WRAP 50'S RED CHRISTMAS,B,Z,BZ,2462.95,1803,18,2.521,0,1523,17360993.01,88.128,32.24,Erratic and mid-value — consider make-to-order
21616,4 PEAR BOTANICAL DINNER CANDLES,B,Z,BZ,2462.33,1153,60,2.29,1,1524,17363455.34,88.141,32.261,Erratic and mid-value — consider make-to-order
21330,WOODLAND ANIMAL  WRITING SET,B,Z,BZ,2460.67,1456,39,3.191,1,1525,17365916.01,88.153,32.282,Erratic and mid-value — consider make-to-order
22911,PAPER CHAIN KIT LONDON,B,Z,BZ,2460.25,855,55,2.093,1,1526,17368376.26,88.166,32.303,Erratic and mid-value — consider make-to-order
21686,MEDINA STAMPED METAL STOOL,B,Z,BZ,2460.14,65,28,2.412,1,1527,17370836.4,88.178,32.324,Erratic and mid-value — consider make-to-order
21462,"NURSERY A,B,C PAINTED LETTERS",B,Z,BZ,2459.16,418,82,2.049,1,1528,17373295.56,88.191,32.345,Erratic and mid-value — consider make-to-order
84509F,SET OF 4 NEW ENGLAND PLACEMATS,B,Z,BZ,2456.1,2781,31,9.733,1,1529,17375751.66,88.203,32.367,Erratic and mid-value — consider make-to-order
21823,PAINTED METAL HEART WITH HOLLY BELL,B,Z,BZ,2453.91,2473,47,2.252,1,1530,17378205.57,88.215,32.388,Erratic and mid-value — consider make-to-order
21747,SMALL SKULL WINDMILL,B,Z,BZ,2453.6,2050,68,2.404,1,1531,17380659.17,88.228,32.409,Erratic and mid-value — consider make-to-order
84840,SWEETHEART CARRY-ALL BASKET,B,Z,BZ,2447.82,284,36,1.783,1,1532,17383106.99,88.24,32.43,Erratic and mid-value — consider make-to-order
21274,EMBOSSED HEART 3 DRAWER SHELF,B,Z,BZ,2446.19,177,43,1.522,1,1533,17385553.18,88.253,32.451,Erratic and mid-value — consider make-to-order
21789,KIDS RAIN MAC PINK,B,Y,BY,2439.62,2923,82,1.28,1,1534,17387992.8,88.265,32.472,Standard policy
22021,BLUE FELT EASTER EGG BASKET,B,Z,BZ,2433.61,1415,30,2.306,1,1535,17390426.41,88.277,32.494,Erratic and mid-value — consider make-to-order
21809,CHRISTMAS HANGING TREE WITH BELL,B,Z,BZ,2430.78,3018,45,2.46,1,1536,17392857.19,88.29,32.515,Erratic and mid-value — consider make-to-order
23406,HOME SWEET HOME KEY HOLDER,B,Z,BZ,2428.91,457,14,4.399,0,1537,17395286.1,88.302,32.536,Erratic and mid-value — consider make-to-order
22609,PENS ASSORTED SPACEBALL,B,Y,BY,2428.22,7159,64,1.428,1,1538,17397714.32,88.314,32.557,Standard policy
22448,PIN CUSHION BABUSHKA RED,B,Z,BZ,2426.73,753,59,3.348,1,1539,17400141.05,88.327,32.578,Erratic and mid-value — consider make-to-order
23265,SET OF 3 WOODEN TREE DECORATIONS,B,Z,BZ,2423.54,1784,27,2.495,1,1540,17402564.59,88.339,32.599,Erratic and mid-value — consider make-to-order
22613,PACK OF 20 SPACEBOY NAPKINS,B,Z,BZ,2423.16,3055,76,1.508,1,1541,17404987.75,88.351,32.621,Erratic and mid-value — consider make-to-order
22537,MAGIC DRAWING SLATE DINOSAUR,B,Z,BZ,2423.01,5866,84,2.804,1,1542,17407410.76,88.364,32.642,Erratic and mid-value — consider make-to-order
22362,GLASS JAR PEACOCK BATH SALTS,B,Z,BZ,2422.33,751,83,1.778,1,1543,17409833.09,88.376,32.663,Erratic and mid-value — consider make-to-order
21973,SET OF 36 MUSHROOM PAPER DOILIES,B,Z,BZ,2420.03,1670,75,1.919,1,1544,17412253.12,88.388,32.684,Erratic and mid-value — consider make-to-order
21106,CREAM SLICE FLANNEL CHOCOLATE SPOT,B,Y,BY,2419.68,790,74,1.385,1,1545,17414672.8,88.401,32.705,Standard policy
22540,MINI JIGSAW CIRCUS PARADE,B,Z,BZ,2410.29,6162,77,2.181,1,1546,17417083.09,88.413,32.727,Erratic and mid-value — consider make-to-order
23400,SHELF WITH 4 HOOKS HOME SWEET HOME,B,Z,BZ,2409.34,461,14,4.51,0,1547,17419492.43,88.425,32.748,Erratic and mid-value — consider make-to-order
21540,DAIRY MAID CERAMIC BUTTER DISH,B,Z,BZ,2403.45,1325,35,8.415,1,1548,17421895.88,88.437,32.769,Erratic and mid-value — consider make-to-order
85059,FRENCH ENAMEL WATER BASIN,B,Z,BZ,2399.89,701,87,1.549,1,1549,17424295.77,88.449,32.79,Erratic and mid-value — consider make-to-order
85034A,3 GARDENIA MORRIS BOXED CANDLES,B,Z,BZ,2393.44,852,58,2.976,1,1550,17426689.21,88.462,32.811,Erratic and mid-value — consider make-to-order
22986,GINGHAM ROSE WRAP,B,Y,BY,2389.9,5795,62,1.35,1,1551,17429079.11,88.474,32.832,Standard policy
85035A,GARDENIA 3 WICK MORRIS BOXED CANDLE,B,Z,BZ,2387.31,653,67,1.943,1,1552,17431466.42,88.486,32.854,Erratic and mid-value — consider make-to-order
23028,DRAWER KNOB CRACKLE GLAZE BLUE,B,Z,BZ,2387.03,1375,21,2.697,0,1553,17433853.45,88.498,32.875,Erratic and mid-value — consider make-to-order
23048,SET OF 10 LANTERNS FAIRY LIGHT STAR,B,Z,BZ,2384.97,581,29,3.908,1,1554,17436238.42,88.51,32.896,Erratic and mid-value — consider make-to-order
84818,DANISH ROSE PHOTO FRAME,B,Z,BZ,2383.04,1789,79,1.929,1,1555,17438621.46,88.522,32.917,Erratic and mid-value — consider make-to-order
22566,FELTCRAFT HAIRBAND PINK AND PURPLE,B,Z,BZ,2378.92,2842,78,2.956,1,1556,17441000.38,88.534,32.938,Erratic and mid-value — consider make-to-order
23498,CLASSIC BICYCLE CLIPS,B,Z,BZ,2378.48,1644,3,7.133,0,1557,17443378.86,88.546,32.959,Erratic and mid-value — consider make-to-order
10133,COLOURING PENCILS BROWN TUBE,B,Z,BZ,2377.88,3848,74,1.613,1,1558,17445756.74,88.558,32.981,Erratic and mid-value — consider make-to-order
21873,IF YOU CAN'T STAND THE HEAT MUG,B,Z,BZ,2377.51,2024,82,3.507,1,1559,17448134.25,88.57,33.002,Erratic and mid-value — consider make-to-order
21262,WHITE GOOSE FEATHER CHRISTMAS TREE,B,Z,BZ,2374.87,609,48,1.672,1,1560,17450509.12,88.582,33.023,Erratic and mid-value — consider make-to-order
23437,50'S CHRISTMAS GIFT BAG LARGE,B,Z,BZ,2373.63,1939,16,3.379,0,1561,17452882.75,88.595,33.044,Erratic and mid-value — consider make-to-order
47570,ENGLISH ROSE TABLE CLOTH,B,Z,BZ,2373.01,220,21,3.347,0,1562,17455255.76,88.607,33.065,Erratic and mid-value — consider make-to-order
23436,VINTAGE CHRISTMAS GIFT BAG LARGE,B,Z,BZ,2367.39,1979,18,3.899,0,1563,17457623.15,88.619,33.086,Erratic and mid-value — consider make-to-order
21468,BUTTERFLY CROCHET FOOD COVER,B,Z,BZ,2365.14,670,76,3.642,1,1564,17459988.29,88.631,33.108,Erratic and mid-value — consider make-to-order
22321,BIRD DECORATION RED RETROSPOT,B,Y,BY,2360.35,2552,96,1.158,1,1565,17462348.64,88.643,33.129,Standard policy
22642,SET OF 4 NAPKIN CHARMS STARS,B,Z,BZ,2358.67,993,44,2.0,1,1566,17464707.31,88.655,33.15,Erratic and mid-value — consider make-to-order
21615,4 LAVENDER BOTANICAL DINNER CANDLES,B,Z,BZ,2354.92,1181,51,2.459,1,1567,17467062.23,88.666,33.171,Erratic and mid-value — consider make-to-order
23401,RUSTIC MIRROR WITH LACE HEART,B,Z,BZ,2354.87,459,14,4.639,0,1568,17469417.1,88.678,33.192,Erratic and mid-value — consider make-to-order
23412,HEART MIRROR ANTIQUE WHITE,B,Z,BZ,2354.8,358,6,5.311,0,1569,17471771.9,88.69,33.213,Erratic and mid-value — consider make-to-order
21824,PAINTED METAL STAR WITH HOLLY BELLS,B,Z,BZ,2354.75,2785,41,2.539,1,1570,17474126.65,88.702,33.235,Erratic and mid-value — consider make-to-order
21437,24 HANGING EASTER EGGS FLORAL TUB,B,Z,BZ,2354.67,678,14,3.965,0,1571,17476481.32,88.714,33.256,Erratic and mid-value — consider make-to-order
21126,SET OF 6 GIRLS CELEBRATION CANDLES,B,Z,BZ,2354.22,2329,95,2.347,1,1572,17478835.54,88.726,33.277,Erratic and mid-value — consider make-to-order
22421,LIPSTICK PEN FUSCHIA,B,Y,BY,2352.7,4723,80,1.38,1,1573,17481188.24,88.738,33.298,Standard policy
84459B,YELLOW METAL CHICKEN HEART,B,Z,BZ,2341.77,1475,54,2.194,1,1574,17483530.01,88.75,33.319,Erratic and mid-value — consider make-to-order
22306,SILVER MUG BONE CHINA TREE OF LIFE,B,Z,BZ,2340.62,1639,41,1.939,1,1575,17485870.63,88.762,33.34,Erratic and mid-value — consider make-to-order
21826,EIGHT PIECE DINOSAUR SET,B,Z,BZ,2336.87,1808,61,1.783,1,1576,17488207.5,88.774,33.362,Erratic and mid-value — consider make-to-order
21708,FOLDING UMBRELLA CREAM POLKADOT,B,Z,BZ,2336.48,611,65,2.534,1,1577,17490543.98,88.786,33.383,Erratic and mid-value — consider make-to-order
21947,SET OF 6 HEART CHOPSTICKS,B,Y,BY,2327.81,1695,92,1.389,1,1578,17492871.79,88.798,33.404,Standard policy
22973,CHILDREN'S CIRCUS PARADE MUG,B,Z,BZ,2324.23,1367,51,1.69,1,1579,17495196.02,88.809,33.425,Erratic and mid-value — consider make-to-order
23197,SKETCHBOOK MAGNETIC SHOPPING LIST,B,Z,BZ,2323.8,1492,25,2.283,0,1580,17497519.82,88.821,33.446,Erratic and mid-value — consider make-to-order
22251,BIRDHOUSE DECORATION MAGIC GARDEN,B,Z,BZ,2322.64,1875,82,1.708,1,1581,17499842.46,88.833,33.467,Erratic and mid-value — consider make-to-order
85107,CUT GLASS T-LIGHT HOLDER OCTAGON,B,Z,BZ,2315.59,1219,43,2.875,1,1582,17502158.05,88.845,33.489,Erratic and mid-value — consider make-to-order
23371,SET 36 COLOUR PENCILS SPACEBOY,B,Z,BZ,2313.53,1712,12,3.218,0,1583,17504471.58,88.856,33.51,Erratic and mid-value — consider make-to-order
84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,B,X,BX,2313.06,5110,102,0.723,1,1584,17506784.64,88.868,33.531,"Automate, review quarterly"
21741,COSY SLIPPER SHOES LARGE GREEN,B,Z,BZ,2311.45,707,63,1.691,1,1585,17509096.09,88.88,33.552,Erratic and mid-value — consider make-to-order
21482,MUSHROOM BLUE HOT WATER BOTTLE,B,Z,BZ,2308.56,744,34,3.276,1,1586,17511404.65,88.892,33.573,Erratic and mid-value — consider make-to-order
84796A,PINK HAWAIIAN PICNIC HAMPER FOR 2,B,Z,BZ,2307.23,312,49,3.351,1,1587,17513711.88,88.903,33.594,Erratic and mid-value — consider make-to-order
22363,GLASS JAR MARMALADE,B,Z,BZ,2306.34,782,77,2.336,1,1588,17516018.22,88.915,33.616,Erratic and mid-value — consider make-to-order
21696,SMALL SILVER TRELLIS CANDLEPOT,B,Y,BY,2304.24,767,61,1.291,1,1589,17518322.46,88.927,33.637,Standard policy
23029,DRAWER KNOB CRACKLE GLAZE GREEN,B,Z,BZ,2303.92,1352,26,2.094,1,1590,17520626.38,88.938,33.658,Erratic and mid-value — consider make-to-order
22409,MONEY BOX BISCUITS DESIGN,B,Z,BZ,2300.46,1694,69,4.606,1,1591,17522926.84,88.95,33.679,Erratic and mid-value — consider make-to-order
23330,DECORATIVE WICKER HEART MEDIUM,B,Z,BZ,2299.47,1804,18,2.55,0,1592,17525226.31,88.962,33.7,Erratic and mid-value — consider make-to-order
85114A,BLACK ENCHANTED FOREST PLACEMAT,B,Z,BZ,2296.54,1326,60,2.034,1,1593,17527522.85,88.973,33.721,Erratic and mid-value — consider make-to-order
23360,SET 8 CANDLES VINTAGE DOILY,B,Z,BZ,2296.15,1187,19,2.666,0,1594,17529819.0,88.985,33.743,Erratic and mid-value — consider make-to-order
85176,SEWING SUSAN 21 NEEDLE SET,B,Z,BZ,2293.0,2748,93,2.438,1,1595,17532112.0,88.997,33.764,Erratic and mid-value — consider make-to-order
22831,WHITE BROCANTE SOAP DISH,B,Z,BZ,2292.18,778,48,2.292,1,1596,17534404.18,89.008,33.785,Erratic and mid-value — consider make-to-order
21464,DISCO BALL ROTATOR BATTERY OPERATED,B,Y,BY,2291.0,540,90,1.048,1,1597,17536695.18,89.02,33.806,Standard policy
22246,"GARLAND, MAGIC GARDEN 1.8M",B,Y,BY,2289.9,1082,73,1.407,1,1598,17538985.08,89.032,33.827,Standard policy
85172,HYACINTH BULB T-LIGHT CANDLES,B,Z,BZ,2288.0,4303,72,1.559,1,1599,17541273.08,89.043,33.848,Erratic and mid-value — consider make-to-order
21655,HANGING RIDGE GLASS T-LIGHT HOLDER,B,Z,BZ,2287.64,1402,27,2.591,1,1600,17543560.72,89.055,33.87,Erratic and mid-value — consider make-to-order
85199L,LARGE HANGING IVORY & RED WOOD BIRD,B,Y,BY,2285.02,3455,92,1.28,1,1601,17545845.74,89.066,33.891,Standard policy
23128,FELTCRAFT BOY JEAN-PAUL KIT,B,Z,BZ,2283.41,453,39,1.963,1,1602,17548129.15,89.078,33.912,Erratic and mid-value — consider make-to-order
21819,GLITTER CHRISTMAS STAR,B,Z,BZ,2281.46,3889,43,2.231,1,1603,17550410.61,89.09,33.933,Erratic and mid-value — consider make-to-order
23252,VINTAGE RED ENAMEL TRIM JUG,B,Z,BZ,2276.61,607,27,2.437,1,1604,17552687.22,89.101,33.954,Erratic and mid-value — consider make-to-order
85106,CUT GLASS HEXAGON T-LIGHT HOLDER,B,Z,BZ,2276.34,1192,34,4.576,1,1605,17554963.56,89.113,33.975,Erratic and mid-value — consider make-to-order
85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,B,Z,BZ,2275.75,1512,68,2.381,1,1606,17557239.31,89.124,33.997,Erratic and mid-value — consider make-to-order
21804,WHITE CHRISTMAS GARLAND STARS TREES,B,Z,BZ,2270.99,605,35,2.02,1,1607,17559510.3,89.136,34.018,Erratic and mid-value — consider make-to-order
85014C,BLUE/BROWN DOTS RUFFLED UMBRELLA,B,Z,BZ,2270.73,547,21,5.802,0,1608,17561781.03,89.147,34.039,Erratic and mid-value — consider make-to-order
22539,MINI JIGSAW DOLLY GIRL,B,Z,BZ,2269.39,5657,80,1.564,1,1609,17564050.42,89.159,34.06,Erratic and mid-value — consider make-to-order
35001G,HAND OPEN SHAPE GOLD,B,Z,BZ,2267.97,717,55,2.617,1,1610,17566318.39,89.17,34.081,Erratic and mid-value — consider make-to-order
22024,RAINY LADIES BIRTHDAY CARD,B,Y,BY,2267.08,5415,97,0.822,1,1611,17568585.47,89.182,34.102,Standard policy
20658,RED SPOTTY LUGGAGE TAG,B,Y,BY,2263.86,1594,87,0.93,1,1612,17570849.33,89.193,34.124,Standard policy
22133,PINK LOVE HEART SHAPE CUP,B,Y,BY,2258.61,2464,100,1.262,1,1613,17573107.94,89.205,34.145,Standard policy
21681,GIANT MEDINA STAMPED METAL BOWL,B,Z,BZ,2254.71,235,38,2.66,1,1614,17575362.65,89.216,34.166,Erratic and mid-value — consider make-to-order
21476,STEEL SWEETHEART ROUND TABLE CREAM,B,Z,BZ,2249.41,144,41,1.891,1,1615,17577612.06,89.228,34.187,Erratic and mid-value — consider make-to-order
84469,ROSE DES PADDED FLOOR CUSHION,B,Z,BZ,2249.41,664,13,5.528,0,1616,17579861.47,89.239,34.208,Erratic and mid-value — consider make-to-order
21187,WHITE BELL HONEYCOMB PAPER GARLAND,B,Z,BZ,2247.08,1346,58,2.567,1,1617,17582108.55,89.25,34.229,Erratic and mid-value — consider make-to-order
22286,"DECORATION , WOBBLY RABBIT , METAL",B,Z,BZ,2245.3,1964,54,2.111,1,1618,17584353.85,89.262,34.251,Erratic and mid-value — consider make-to-order
23093,SMALL PARISIENNE HEART PHOTO FRAME,B,Z,BZ,2244.22,941,31,2.557,1,1619,17586598.07,89.273,34.272,Erratic and mid-value — consider make-to-order
23079,TOADSTOOL BEDSIDE LIGHT,B,Z,BZ,2243.35,253,30,2.049,1,1620,17588841.42,89.285,34.293,Erratic and mid-value — consider make-to-order
