StockCode,Description,returned_units,returned_value,return_lines,units,class,return_rate_pct
21626,VINTAGE UNION JACK PENNANT,60,117.0,12,1500.0,BY,4.0
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,60,219.7,9,6866.0,AZ,0.87
22377,BOTTLE BAG RETROSPOT,60,116.8,5,3620.0,AZ,1.66
21506,"FANCY FONT BIRTHDAY CARD,",60,25.2,4,10962.0,AY,0.55
22938,CUPCAKE LACE PAPER SET 6,60,117.0,4,3687.0,AZ,1.63
23212,HEART WREATH DECORATION WITH BELL,60,75.0,3,2300.0,BZ,2.61
22029,SPACEBOY BIRTHDAY CARD,60,25.2,2,17698.0,AX,0.34
21114,LAVENDER SCENTED FABRIC HEART,60,75.0,5,5716.0,AY,1.05
22730,ALARM CLOCK BAKELIKE IVORY,60,225.0,16,3707.0,AY,1.62
23354,6 GIFT TAGS 50'S CHRISTMAS,60,49.8,3,3743.0,BZ,1.6
84799,SPRIG LAVENDER ARTIFICIAL FLOWER,60,35.16,2,679.0,CZ,8.84
23077,DOUGHNUT LIP GLOSS,60,75.0,3,10415.0,AZ,0.58
23206,LUNCH BAG APPLE DESIGN,59,97.15,13,12183.0,AZ,0.48
22725,ALARM CLOCK BAKELIKE CHOCOLATE,59,221.25,18,2529.0,AY,2.33
21810,CHRISTMAS HANGING STAR WITH BELL,59,73.75,2,7064.0,AZ,0.84
21743,STAR PORTABLE TABLE LIGHT,59,174.04999999999998,5,1292.0,BZ,4.57
22796,PHOTO FRAME 3 CLASSIC HANGING,59,563.8499999999999,25,810.0,AY,7.28
23251,VINTAGE RED ENAMEL TRIM MUG,58,72.5,5,1713.0,BZ,3.39
84950,ASSORTED COLOUR T-LIGHT HOLDER,58,44.5,10,6149.0,AZ,0.94
23221,REINDEER HEART DECORATION SILVER,58,48.14,4,1537.0,BZ,3.77
22326,ROUND SNACK BOXES SET OF4 WOODLAND,58,171.1,26,15481.0,AY,0.37
21937,STRAWBERRY   PICNIC BAG,58,169.1,14,4109.0,AY,1.41
21424,WOODLAND STORAGE BOX LARGE,58,151.9,9,955.0,BZ,6.07
22468,BABUSHKA LIGHTS STRING OF 10,58,352.3,6,1737.0,AZ,3.34
47590B,PINK HAPPY BIRTHDAY BUNTING,57,293.05,10,5761.0,AY,0.99
21902,"KEY FOB , FRONT  DOOR",57,37.05,4,5376.0,BZ,1.06
22299,PIG KEYRING WITH LIGHT & SOUND,57,71.25,5,3913.0,AZ,1.46
21826,EIGHT PIECE DINOSAUR SET,57,71.25,7,1808.0,BZ,3.15
37342,POLKADOT COFFEE CUP & SAUCER PINK,56,45.68,3,1629.0,BZ,3.44
22652,TRAVEL SEWING KIT,56,92.4,11,9927.0,AY,0.56
22128,PARTY CONES CANDY ASSORTED,56,70.0,3,3929.0,AY,1.43
21537,RED RETROSPOT PUDDING BOWL,56,213.0,8,1010.0,AY,5.54
22217,T-LIGHT HOLDER HANGING LACE,56,70.0,3,2378.0,BZ,2.35
21623,VINTAGE UNION JACK MEMOBOARD,56,499.20000000000005,13,6169.0,AZ,0.91
22258,FELT FARM ANIMAL RABBIT,55,68.75,3,1345.0,BZ,4.09
21976,PACK OF 60 MUSHROOM CAKE CASES,55,30.25,4,14643.0,AY,0.38
22091,EMPIRE TISSUE BOX,55,68.75,4,3190.0,BZ,1.72
23249,VINTAGE RED ENAMEL TRIM PLATE,55,87.71000000000001,7,854.0,BZ,6.44
22669,RED BABY BUNTING,55,142.25,2,2391.0,AY,2.3
21535,RED RETROSPOT SMALL MILK JUG,55,139.35,30,6809.0,AY,0.81
20731,POSY CANDY BAG,55,58.3,1,4142.0,BZ,1.33
23163,REGENCY SUGAR TONGS,55,114.4,2,1832.0,AZ,3.0
23168,CLASSIC CAFE SUGAR DISPENSER,54,65.61,18,3292.0,AZ,1.64
21892,TRADITIONAL WOODEN CATCH CUP GAME,54,67.5,11,7843.0,AY,0.69
84625A,PINK NEW BAROQUECANDLESTICK CANDLE,54,64.8,5,838.0,CZ,6.44
47559B,TEA TIME OVEN GLOVE,54,67.5,6,5281.0,AY,1.02
21324,HANGING MEDINA LANTERN SMALL,54,140.1,3,1022.0,BZ,5.28
21591,COSY HOUR CIGAR BOX MATCHES,54,67.5,2,4018.0,AZ,1.34
71477,COLOURED GLASS STAR T-LIGHT HOLDER,54,197.46,7,15097.0,AY,0.36
22440,BALLOON WATER BOMB PACK OF 35,54,22.68,5,8613.0,BZ,0.63
84688,BEACH HUT DESIGN BLACKBOARD,53,155.05,8,422.0,BZ,12.56
22243,"HOOK, 5 HANGER ,MAGIC TOADSTOOL RED",53,87.45,6,7685.0,AZ,0.69
22155,STAR DECORATION RUSTIC,53,22.26,3,6031.0,BZ,0.88
22148,EASTER CRAFT 4 CHICKS,52,101.39999999999999,6,3247.0,AZ,1.6
22798,ANTIQUE GLASS DRESSING TABLE POT,52,153.4,22,2372.0,AY,2.19
22806,SET OF 6 T-LIGHTS WEDDING CAKE,52,134.20000000000002,2,430.0,CZ,12.09
22229,BUNNY WOODEN PAINTED WITH FLOWER,52,44.199999999999996,7,1007.0,CZ,5.16
22784,LANTERN CREAM GAZEBO,52,249.0,30,1561.0,AY,3.33
22654,DELUXE SEWING KIT,52,306.40000000000003,25,2539.0,AY,2.05
22689,DOORMAT MERRY CHRISTMAS RED,52,354.0,2,1092.0,AZ,4.76
21718,RED METAL BEACH SPADE,52,65.0,5,4033.0,AZ,1.29
84684,BEACH HUT PHOTO FRAME,52,51.0,2,609.0,CZ,8.54
84536B,FAIRY CAKES NOTEBOOK A7 SIZE,52,21.84,3,3512.0,BY,1.48
22367,CHILDRENS APRON SPACEBOY DESIGN,52,101.39999999999999,14,8076.0,AX,0.64
22393,PAPERWEIGHT VINTAGE COLLAGE,52,111.0,3,836.0,BZ,6.22
23173,REGENCY TEAPOT ROSES,52,436.4,13,2770.0,AZ,1.88
22494,EMERGENCY FIRST AID TIN,51,63.75,13,2766.0,BY,1.84
22890,NOVELTY BISCUITS CAKE STAND 3 TIER,51,481.34999999999997,26,805.0,AZ,6.34
23287,RED VINTAGE SPOT BEAKER,51,43.349999999999994,2,1891.0,BZ,2.7
23110,PARISIENNE KEY CABINET,51,293.25,28,702.0,BZ,7.26
22220,CAKE STAND LOVEBIRD 2 TIER WHITE,51,485.7,27,746.0,AY,6.84
21484,CHICK GREY HOT WATER BOTTLE,51,157.95,4,4631.0,AZ,1.1
21491,SET OF THREE VINTAGE GIFT WRAPS,51,99.44999999999999,5,2897.0,AZ,1.76
37503,TEA TIME CAKE STAND IN GIFT BOX,51,515.45,11,2469.0,AZ,2.07
85049A,TRADITIONAL CHRISTMAS RIBBONS,51,63.75,6,6590.0,AY,0.77
22741,FUNKY DIVA PEN,51,43.349999999999994,3,10652.0,AY,0.48
22781,GUMBALL MAGAZINE RACK,51,366.75,15,868.0,AY,5.88
21202,DOLLY HONEYCOMB GARLAND,51,74.55,3,854.0,CZ,5.97
22055,MINI CAKE STAND  HANGING STRAWBERY,51,82.95,19,4945.0,AY,1.03
21165,BEWARE OF THE CAT METAL SIGN,51,82.59,6,9365.0,AY,0.54
22406,MONEY BOX KINGS CHOICE DESIGN,50,55.66,4,2503.0,BZ,2.0
21469,POLKA DOT RAFFIA FOOD COVER,50,67.5,3,1165.0,BZ,4.29
90087,CRYSTAL SEA HORSE PHONE CHARM,50,42.5,2,311.0,CZ,16.08
22704,WRAP RED APPLES,50,21.0,2,8728.0,BY,0.57
21167,WHITE SAGE INCENSE,50,10.5,1,2440.0,CZ,2.05
22139,RETROSPOT TEA SET CERAMIC 11 PC,50,234.9,22,10635.0,AY,0.47
22242,5 HOOK HANGER MAGIC TOADSTOOL,50,82.5,5,4779.0,AZ,1.05
22427,ENAMEL FLOWER JUG CREAM,50,291.5,20,3219.0,AY,1.55
22050,PINK PAISLEY ROSE GIFT WRAP,50,21.0,2,3300.0,BY,1.52
22706,WRAP COWBOYS,50,21.0,2,4222.0,BZ,1.18
22711,WRAP CIRCUS PARADE,50,21.0,2,5402.0,BY,0.93
21498,RED SPOTS  WRAP,50,21.0,1,26751.0,AX,0.19
23146,TRIPLE HOOK ANTIQUE IVORY ROSE,50,164.1,22,801.0,BZ,6.24
21498,RED RETROSPOT WRAP,50,21.0,2,26751.0,AX,0.19
22052,VINTAGE CARAVAN GIFT WRAP,50,21.0,2,3525.0,BY,1.42
72038P,PRICE'S CANDLE PEACH,50,10.5,1,1050.0,CZ,4.76
22488,NATURAL SLATE RECTANGLE CHALKBOARD,49,80.85000000000001,17,6908.0,AY,0.71
23286,BLUE VINTAGE SPOT BEAKER,49,41.65,3,5048.0,AZ,0.97
22567,20 DOLLY PEGS RETROSPOT,49,61.45,10,5587.0,AY,0.88
84676,BATH DUCK WATERING CAN,49,132.55,10,848.0,BZ,5.78
22362,GLASS JAR PEACOCK BATH SALTS,49,144.55,13,751.0,BZ,6.52
22187,GREEN CHRISTMAS TREE CARD HOLDER,49,191.45,14,2105.0,AZ,2.33
22995,TRAVEL CARD WALLET SUKI,49,20.580000000000002,3,2389.0,CZ,2.05
22263,FELT EGG COSY LADYBIRD,49,32.34,1,842.0,CZ,5.82
22211,WOOD STAMP SET FLOWERS,49,71.25,2,1532.0,BY,3.2
85216,ASSORTED CAKES FRIDGE MAGNETS,49,31.85,4,2855.0,BZ,1.72
21124,SET/10 BLUE POLKADOT PARTY CANDLES,49,61.25,3,10038.0,AY,0.49
82484,WOOD BLACK BOARD ANT WHITE FINISH,49,325.0,24,9839.0,AZ,0.5
84422,PINK/BLUE DISC/MIRROR STRING,49,19.57,2,782.0,CZ,6.27
22035,VINTAGE CARAVAN GREETING CARD,49,20.580000000000002,2,4095.0,BY,1.2
22545,MINI JIGSAW BUNNIES,49,20.580000000000002,2,3455.0,BZ,1.42
47422,ASSORTED MONKEY SUCTION CUP HOOK,49,20.580000000000002,3,1217.0,CZ,4.03
21203,BUTTERFLIES  HONEYCOMB GARLAND,49,71.25,2,1541.0,BZ,3.18
21204,DAISIES  HONEYCOMB GARLAND,49,71.25,2,1608.0,BZ,3.05
22847,BREAD BIN DINER STYLE IVORY,49,794.55,36,1157.0,AY,4.24
85098B,BLUE FLYING SINGING CANARY,49,154.15,6,366.0,BZ,13.39
21357,TOAST ITS - DINOSAUR,48,60.0,1,1395.0,BZ,3.44
23078,ICE CREAM PEN LIP GLOSS,48,60.0,2,6831.0,AZ,0.7
84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,48,46.72,3,6288.0,BY,0.76
22816,CARD MOTORBIKE SANTA,48,20.16,2,6904.0,BZ,0.7
21199,PINK  HEART CONFETTI IN TUBE,48,20.16,1,1305.0,BZ,3.68
21192,WHITE BELL HONEYCOMB PAPER,48,69.6,1,2169.0,BZ,2.21
22093,MOTORING TISSUE BOX,48,53.16,2,2355.0,BZ,2.04
22295,HEART FILIGREE DOVE LARGE,48,79.2,4,8602.0,AY,0.56
47351B,BLUE  VOILE LAMPSHADE,48,122.4,1,98.0,CZ,48.98
21983,PACK OF 12 BLUE PAISLEY TISSUES,48,13.92,2,6121.0,BY,0.78
21285,RETROSPOT CANDLE  MEDIUM,48,66.0,3,1007.0,BZ,4.77
20802,SMALL GLASS SUNDAE DISH CLEAR,48,34.92,4,1051.0,BZ,4.57
72225C,LAVENDER SCENT CAKE CANDLE,48,13.92,1,1926.0,CZ,2.49
22325,MOBILE VINTAGE HEARTS,48,237.6,16,701.0,BZ,6.85
22537,MAGIC DRAWING SLATE DINOSAUR,48,20.16,1,5866.0,BZ,0.82
21355,TOAST ITS - I LOVE YOU,48,60.0,3,3458.0,BZ,1.39
22530,MAGIC DRAWING SLATE DOLLY GIRL,48,20.16,2,10069.0,AZ,0.48
85230G,ORANGE VOTIVE CANDLE,48,13.92,1,1680.0,CZ,2.86
23267,SET OF 4 SANTA PLACE SETTINGS,48,60.0,1,1202.0,BZ,3.99
22586,FELTCRAFT HAIRBAND PINK AND BLUE,48,40.800000000000004,2,2091.0,BY,2.3
21755,LOVE BUILDING BLOCK WORD,48,285.6,14,5691.0,AX,0.84
16219,HOUSE SHAPE PENCIL SHARPENER,48,2.88,1,3357.0,CZ,1.43
23226,FILIGREE HEART DAISY WHITE,48,60.0,1,1247.0,BZ,3.85
21786,RAIN HAT WITH RED SPOTS,48,20.16,1,7485.0,BZ,0.64
22174,PHOTO CUBE,48,79.2,2,5140.0,AZ,0.93
20804,GLASS CHICKEN BUTTER DISH,48,69.6,1,333.0,CZ,14.41
22357,KINGS CHOICE BISCUIT TIN,48,198.0,18,2075.0,AZ,2.31
21811,HANGING HEART WITH BELL,48,18.72,1,6349.0,AZ,0.76
21770,OPEN CLOSED METAL SIGN,48,212.4,4,2996.0,AZ,1.6
22809,SET OF 6 T-LIGHTS SANTA,48,132.0,5,2598.0,AZ,1.85
21123,SET/10 IVORY POLKADOT PARTY CANDLES,48,60.0,2,2755.0,BY,1.74
37370,RETRO COFFEE MUGS ASSORTED,47,57.42,16,7171.0,AY,0.66
21539,RED RETROSPOT BUTTER DISH,47,223.26000000000002,33,2740.0,AY,1.72
20941,FROG CANDLE,47,41.35,5,998.0,CZ,4.71
23433,HANGING QUILTED PATCHWORK APPLES,47,39.010000000000005,3,1258.0,CZ,3.74
22424,ENAMEL BREAD BIN CREAM,47,570.45,26,1532.0,AY,3.07
22144,CHRISTMAS CRAFT LITTLE FRIENDS,47,98.7,5,5148.0,AZ,0.91
23263,SET OF 3 WOODEN HEART DECORATIONS,47,58.75,5,3893.0,AZ,1.21
23247,BISCUIT TIN 50'S CHRISTMAS,46,118.54,5,2206.0,AZ,2.09
85103,SILVER T-LIGHT SETTING,46,280.1,5,319.0,BZ,14.42
22146,EASTER CRAFT IVY WREATH WITH CHICK,46,77.7,2,1417.0,BZ,3.25
84770,ROUND GEORGIAN SILVER MIRROR,46,135.7,7,135.0,CZ,34.07
23032,DRAWER KNOB CRACKLE GLAZE IVORY,46,75.9,11,2342.0,BZ,1.96
21808,"CHRISTMAS GARLAND STARS,TREES",46,155.0,5,1003.0,BZ,4.59
22636,CHILDS BREAKFAST SET CIRCUS PARADE,45,375.7,24,1625.0,AY,2.77
23176,ABC TREASURE BOOK BOX,45,101.25,10,2167.0,AZ,2.08
22421,LIPSTICK PEN FUSCHIA,45,18.6,5,4723.0,BY,0.95
22380,TOY TIDY SPACEBOY,45,94.5,8,4975.0,AY,0.9
22230,JIGSAW TREE WITH WATERING CAN,45,38.18,8,1659.0,CZ,2.71
20718,RED RETROSPOT SHOPPER BAG,45,55.49,6,13361.0,AX,0.34
21533,RETRO SPOT LARGE MILK JUG,45,212.95,18,3379.0,AX,1.33
72802A,ROSE SCENT CANDLE IN JEWELLED BOX,45,185.09,10,926.0,BY,4.86
40001,WHITE BAMBOO RIBS LAMPSHADE,45,28.8,11,2484.0,BZ,1.81
85226A,WHITE/BLUE PULL BACK RACING CAR,45,24.75,6,1717.0,CZ,2.62
22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,45,129.95,18,2958.0,AY,1.52
85049G,CHOCOLATE BOX RIBBONS,45,56.25,5,3956.0,AY,1.14
22255,FELT TOADSTOOL  SMALL,45,38.25,5,1187.0,CY,3.79
22065,CHRISTMAS PUDDING TRINKET POT,45,54.769999999999996,15,8688.0,AZ,0.52
22196,SMALL HEART MEASURING SPOONS,45,36.04,10,6607.0,AY,0.68
22528,GARDENERS KNEELING PAD,45,56.25,5,5830.0,AZ,0.77
22168,ORGANISER WOOD ANTIQUE WHITE,45,381.65,31,662.0,AZ,6.8
23144,ZINC T-LIGHT HOLDER STARS SMALL,44,36.52,3,5089.0,BZ,0.86
22653,BUTTON BOX,44,85.8,4,3033.0,AZ,1.45
20985,HEART CALCULATOR,44,54.43,6,2379.0,BZ,1.85
85186C,BUNNY EGG GARLAND,44,18.48,2,1400.0,CZ,3.14
21240,BLUE POLKADOT CUP,44,37.14,6,7590.0,AY,0.58
85040A,S/4 PINK FLOWER CANDLES IN BOWL,44,72.6,17,2139.0,BY,2.06
21452,TOADSTOOL MONEY BOX,44,127.0,20,1883.0,AY,2.34
84279P,CHERRY BLOSSOM  DECORATIVE FLASK,44,163.56,19,1149.0,AZ,3.83
21781,MA CAMPAGNE CUTLERY BOX,44,600.6,19,665.0,AY,6.62
22383,LUNCH BAG SUKI  DESIGN,44,68.4,14,25114.0,AX,0.18
35980C,REDWHITE STRIPE SCANDINAVIAN HEART,44,16.72,1,384.0,CZ,11.46
82600,NO SINGING METAL SIGN,43,83.8,7,12696.0,AY,0.34
85159A,"BLACK TEA,COFFEE,SUGAR JARS",43,101.45,8,492.0,BZ,8.74
21918,SET 12 KIDS COLOUR  CHALK STICKS,43,18.06,9,14615.0,AY,0.29
84817,DANISH ROSE DECORATIVE PLATE,43,87.84,7,1059.0,CZ,4.06
22189,CREAM HEART CARD HOLDER,43,168.73,14,16197.0,AZ,0.27
21622,VINTAGE UNION JACK CUSHION COVER,43,212.85,17,3716.0,AZ,1.16
22608,PENS ASSORTED FUNKY JEWELED,43,31.93,2,5771.0,BZ,0.75
22244,"HOOK, 3 HANGER ,MAGIC GARDEN",43,83.85,6,4776.0,AY,0.9
22041,"RECORD FRAME 7"" SINGLE SIZE",42,103.95,5,7540.0,AY,0.56
85232B,SET/3 RUSSIAN DOLL STACKING TINS,42,205.1,19,3090.0,AZ,1.36
22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,42,35.699999999999996,4,1538.0,BZ,2.73
21208,PASTEL COLOUR HONEYCOMB FAN,42,17.64,5,1078.0,CZ,3.9
21832,CHOCOLATE CALCULATOR,42,69.3,5,3346.0,AY,1.26
21215,IVORY PAPER CUP CAKE CASES,42,17.64,1,4356.0,BZ,0.96
22897,OVEN MITT APPLES DESIGN,42,60.9,5,1958.0,BY,2.15
21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,42,166.0,9,2887.0,AZ,1.45
22343,PARTY PIZZA DISH RED RETROSPOT,42,35.7,2,3300.0,BZ,1.27
22429,ENAMEL MEASURING JUG CREAM,42,178.5,21,2296.0,AY,1.83
20676,RED SPOTTY BOWL,41,50.68,7,10529.0,AX,0.39
85053,FRENCH ENAMEL CANDLEHOLDER,41,84.46000000000001,17,2041.0,AY,2.01
22081,RIBBON REEL FLORA + FAUNA,41,67.65,3,1570.0,BY,2.61
22812,PACK 3 BOXES CHRISTMAS PANNETONE,41,79.94999999999999,5,4887.0,AZ,0.84
82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,41,336.15,5,4774.0,AX,0.86
22307,GOLD MUG BONE CHINA TREE OF LIFE,41,49.8,7,1205.0,BZ,3.4
22602,RETROSPOT WOODEN HEART DECORATION,40,34.0,2,6530.0,AZ,0.61
22212,FOUR HOOK  WHITE LOVEBIRDS,40,84.0,15,4038.0,AY,0.99
22555,PLASTERS IN TIN STRONGMAN,40,66.0,8,11572.0,AY,0.35
84750A,PINK SMALL GLASS CAKE STAND,40,75.3,8,544.0,CZ,7.35
22767,TRIPLE PHOTO FRAME CORNICE,40,398.0,20,1004.0,AZ,3.98
22737,RIBBON REEL CHRISTMAS PRESENT,40,66.0,2,3299.0,AZ,1.21
21319,GLASS CHALICE GREEN  SMALL,39,56.95,4,508.0,CZ,7.68
85159B,"WHITE TEA,COFFEE,SUGAR JARS",39,92.89,14,660.0,BZ,5.91
21906,PHARMACIE FIRST AID TIN,39,263.25,9,1792.0,AZ,2.18
22633,HAND WARMER UNION JACK,39,81.9,9,8579.0,AZ,0.45
21754,HOME BUILDING BLOCK WORD,39,231.65,20,7646.0,AX,0.51
22940,FELTCRAFT CHRISTMAS FAIRY,39,120.75,7,3510.0,AZ,1.11
22359,GLASS JAR KINGS CHOICE,39,115.05,14,1285.0,BZ,3.04
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,39,190.25,16,2387.0,AZ,1.63
23321,SMALL WHITE HEART OF WICKER,39,64.35,4,4737.0,AZ,0.82
22193,RED DINER WALL CLOCK,39,319.59999999999997,18,1917.0,AY,2.03
23000,TRAVEL CARD WALLET TRANSPORT,39,16.38,4,3171.0,BY,1.23
22268,DECORATION SITTING BUNNY,39,7.41,1,2562.0,BZ,1.52
22965,3 TRADITIONAl BISCUIT CUTTERS  SET,38,79.8,5,1844.0,BZ,2.06
23358,HOT STUFF HOT WATER BOTTLE,38,125.94,2,595.0,BZ,6.39
22070,SMALL RETRO SPOT MUG IN BOX  RED,38,119.5,4,1840.0,AZ,2.07
22198,"POPCORN HOLDER , LARGE",38,62.7,9,7345.0,AY,0.52
85028S,FRENCH CHATEAU SMALL FRUITBOWL,38,54.9,2,430.0,CZ,8.84
84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,38,15.959999999999999,2,5110.0,BX,0.74
84615,PINK ROUND BUTTERFLY MIRROR,38,241.68,1,240.0,CZ,15.83
84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,38,112.1,5,3241.0,AZ,1.17
22078,RIBBON REEL LACE DESIGN,38,79.8,3,4013.0,AY,0.95
85060,WOOD FAN WITH FLOWER DESIGN,38,47.5,4,1448.0,BZ,2.62
22426,ENAMEL WASH BOWL CREAM,38,129.7,8,1334.0,AY,2.85
20711,JUMBO BAG TOYS,38,70.31,12,12645.0,AY,0.3
22768,FAMILY PHOTO FRAME CORNICE,38,375.2,27,1160.0,AZ,3.28
22801,ANTIQUE GLASS PEDESTAL BOWL,37,138.39,21,1305.0,AY,2.84
23194,GYMKHANA TREASURE BOOK BOX,37,83.25,8,1839.0,BZ,2.01
23187,FRENCH STYLE STORAGE JAR BONBONS,37,16.49,4,2338.0,CZ,1.58
22408,MONEY BOX CONFECTIONERY DESIGN,37,39.41,2,652.0,CZ,5.67
22976,CIRCUS PARADE CHILDRENS EGG CUP,37,46.25,4,1152.0,BZ,3.21
22891,TEA FOR ONE POLKADOT,37,157.25,24,648.0,BZ,5.71
21209,MULTICOLOUR HONEYCOMB FAN,37,38.03,7,1476.0,BZ,2.51
22430,ENAMEL WATERING CAN CREAM,37,171.95000000000002,9,1401.0,AZ,2.64
21586,KINGS CHOICE GIANT TUBE MATCHES,37,94.35000000000001,4,2590.0,AZ,1.43
22837,HOT WATER BOTTLE BABUSHKA,37,157.65,2,3541.0,AZ,1.04
22712,CARD DOLLY GIRL,37,15.54,4,7367.0,BY,0.5
22650,CERAMIC PIRATE CHEST MONEY BANK,37,53.64999999999999,7,1799.0,BY,2.06
21982,PACK OF 12 SUKI TISSUES,37,10.83,2,32540.0,AZ,0.11
22302,COFFEE MUG PEARS  DESIGN,37,94.35000000000001,10,4933.0,AZ,0.75
22625,RED KITCHEN SCALES,37,299.2,21,2651.0,AY,1.4
90090,PINK CRYSTAL HEART PHONE CHARM,37,31.45,3,263.0,CZ,14.07
47502,POLKADOT CUTLERY 24 PCS IN TRAY,37,387.95,7,640.0,AZ,5.78
22279,POCKET BAG BLUE PAISLEY RED SPOT,37,46.25,2,1445.0,BZ,2.56
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,37,44.54,12,15944.0,AY,0.23
90058B,CRYSTAL STUD EARRINGS ASSORTED COL,36,13.68,1,1118.0,CZ,3.22
21519,GIN & TONIC DIET GREETING CARD,36,15.120000000000001,3,7380.0,BX,0.49
90058A,CRYSTAL STUD EARRINGS CLEAR DISPLAY,36,13.68,1,576.0,CZ,6.25
72586,SET OF 6 HALLOWEEN GHOST T-LIGHTS,36,15.12,1,2305.0,CZ,1.56
22610,PENS ASSORTED FUNNY FACE,36,30.6,1,12716.0,AZ,0.28
23119,PACK OF 6 LARGE FRUIT STRAWS,36,22.32,2,2283.0,BZ,1.58
21801,CHRISTMAS TREE DECORATION WITH BELL,36,15.12,1,3434.0,BZ,1.05
22407,MONEY BOX FIRST ADE DESIGN,36,38.16,1,439.0,CZ,8.2
21067,VINTAGE RED TEATIME MUG,36,39.76,5,4771.0,BZ,0.75
17033,"BROCADE PURSE,SMALL ARCH BUTTON",36,10.44,1,3280.0,CZ,1.1
72818,CHRISTMAS DECOUPAGE CANDLE,36,25.92,1,2420.0,BZ,1.49
85189,HANGING BUTTERFLY  EGG,36,30.599999999999998,3,1180.0,CZ,3.05
21090,SET/6 COLLAGE PAPER PLATES,36,14.04,3,3113.0,BZ,1.16
21850,BLUE  DIAMANTE PEN IN GIFT BOX,36,153.0,1,448.0,CZ,8.04
23209,LUNCH BAG VINTAGE DOILY,36,59.2,7,13189.0,AZ,0.27
20940,SET/6 GARDEN GNOME T-LIGHT CANDLES,36,106.2,2,118.0,CZ,30.51
85019C,CURIOUS  IMAGES NOTEBOOK SET,36,81.0,2,423.0,CZ,8.51
21242,RED RETROSPOT PLATE,36,60.84,5,7088.0,AY,0.51
85065,CREAM SWEETHEART TRAYS,36,377.8,10,624.0,AY,5.77
21677,HEARTS  STICKERS,36,30.6,3,2125.0,BY,1.69
22718,CARD CAT AND TREE,36,15.120000000000001,3,2617.0,CY,1.38
23380,PACK OF 12 VINTAGE DOILY TISSUES,36,14.04,2,2344.0,CZ,1.54
22024,RAINY LADIES BIRTHDAY CARD,36,15.120000000000001,3,5415.0,BY,0.66
21284,RETROSPOT CANDLE  SMALL,36,30.36,2,1548.0,BZ,2.33
22722,SET OF 6 SPICE TINS PANTRY DESIGN,36,141.70000000000002,13,5984.0,AZ,0.6
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,36,34.2,3,17709.0,AX,0.2
47503A,ASS FLORAL PRINT MULTI SCREWDRIVER,36,25.08,2,2878.0,BZ,1.25
23302,KNEELING MAT HOUSEWORK  DESIGN,36,54.24,5,1544.0,BZ,2.33
21188,3D HEARTS  HONEYCOMB PAPER GARLAND,35,89.65,2,912.0,BY,3.84
85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,35,131.25,3,1725.0,BZ,2.03
22059,CERAMIC STRWBERRY DESIGN MUG,35,52.15,10,4974.0,AZ,0.7
22729,ALARM CLOCK BAKELIKE ORANGE,35,130.89,19,3004.0,AZ,1.17
23324,RUSTIC STRAWBERRY JAM POT LARGE,35,67.50999999999999,2,399.0,CZ,8.77
21872,GLAMOROUS  MUG,35,41.47,5,5099.0,AZ,0.69
21533,RETROSPOT LARGE MILK JUG,35,162.05,14,3379.0,AX,1.04
22228,BUNNY WOODEN PAINTED WITH BIRD,35,29.749999999999996,7,1729.0,BY,2.02
21730,GLASS STAR FROSTED T-LIGHT HOLDER,35,172.55,21,1124.0,AZ,3.11
22632,HAND WARMER RED RETROSPOT,35,71.5,12,10310.0,AZ,0.34
22631,CIRCUS PARADE LUNCH BOX,35,68.25,7,6279.0,AY,0.56
22606,WOODEN SKITTLES GARDEN SET,34,430.7,17,1075.0,AZ,3.16
48138,DOORMAT UNION FLAG,34,244.95999999999998,10,10095.0,AY,0.34
21746,SMALL RED RETROSPOT WINDMILL,34,42.5,8,5966.0,AY,0.57
22972,CHILDREN'S SPACEBOY MUG,34,56.1,8,1891.0,BY,1.8
22352,LUNCHBOX WITH CUTLERY RETROSPOT,34,86.7,5,7109.0,AX,0.48
21932,SCANDINAVIAN PAISLEY PICNIC BAG,34,58.3,4,3876.0,AZ,0.88
23075,PARLOUR CERAMIC WALL HOOK,34,141.1,6,477.0,BZ,7.13
22663,JUMBO BAG DOLLY GIRL DESIGN,34,66.3,3,5766.0,AY,0.59
22731,3D CHRISTMAS STAMPS STICKERS,34,42.5,2,2965.0,BZ,1.15
84968A,SET OF 16 VINTAGE ROSE CUTLERY,34,390.3,4,535.0,AZ,6.36
21291,SMALL POLKADOT CHOCOLATE GIFT BAG,34,28.9,2,2439.0,BY,1.39
22046,TEA PARTY  WRAPPING PAPER,34,14.28,2,6375.0,BY,0.53
72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,34,67.03,5,3781.0,AZ,0.9
