StockCode,product,class,ABC,XYZ,weekly_demand,forecast_error,reorder_point,lead_time_weeks,service_level
20719,WOODLAND CHARLOTTE BAG,AX,A,X,227.63,70.8,393.0,1,99%
47566B,TEA TIME PARTY BUNTING,AY,A,Y,63.67,15.06,99.0,1,99%
22624,IVORY KITCHEN SCALES,AY,A,Y,28.17,27.33,92.0,1,99%
21930,JUMBO STORAGE BAG SKULLS,AX,A,X,122.55,73.8,295.0,1,99%
72741,GRAND CHOCOLATECANDLE,AY,A,Y,190.01,100.38,424.0,1,99%
22835,HOT WATER BOTTLE I AM SO POORLY,AZ,A,Z,35.69,77.35,216.0,1,99%
84991,60 TEATIME FAIRY CAKE CASES,AX,A,X,534.57,183.0,961.0,1,99%
22961,JAM MAKING SET PRINTED,AY,A,Y,129.24,142.73,462.0,1,99%
20750,RED RETROSPOT MINI CASES,AX,A,X,34.44,16.34,73.0,1,99%
71459,HANGING JAM JAR T-LIGHT HOLDER,AY,A,Y,329.46,134.41,643.0,1,99%
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,AZ,A,Z,75.08,160.73,450.0,1,99%
22149,FELTCRAFT 6 FLOWER FRIENDS,AY,A,Y,111.67,192.54,560.0,1,99%
22867,HAND WARMER BIRD DESIGN,AZ,A,Z,80.35,163.79,462.0,1,99%
48111,DOORMAT 3 SMILEY CATS,AZ,A,Z,38.7,43.19,139.0,1,99%
22551,PLASTERS IN TIN SPACEBOY,AY,A,Y,137.96,74.87,312.0,1,99%
82600,NO SINGING METAL SIGN,AY,A,Y,114.99,188.22,554.0,1,99%
20711,JUMBO BAG TOYS,AY,A,Y,124.73,73.01,295.0,1,99%
21481,FAWN BLUE HOT WATER BOTTLE,AY,A,Y,72.89,59.66,212.0,1,99%
22507,MEMO BOARD RETROSPOT  DESIGN,AZ,A,Z,49.67,46.69,158.0,1,99%
37503,TEA TIME CAKE STAND IN GIFT BOX,AZ,A,Z,26.55,0.0,27.0,1,99%
22087,PAPER BUNTING WHITE LACE,AY,A,Y,84.57,48.38,197.0,1,99%
21080,SET/20 RED RETROSPOT PAPER NAPKINS,AX,A,X,306.66,67.61,464.0,1,99%
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,AZ,A,Z,103.72,202.26,575.0,1,99%
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,AY,A,Y,409.84,185.04,841.0,1,99%
22084,PAPER CHAIN KIT EMPIRE,AZ,A,Z,94.53,2.07,99.0,1,99%
21527,RED RETROSPOT TRADITIONAL TEAPOT,AY,A,Y,36.13,2.14,41.0,1,99%
23173,REGENCY TEAPOT ROSES,AZ,A,Z,23.74,53.58,149.0,1,99%
20972,PINK CREAM FELT CRAFT TRINKET BOX,AY,A,Y,193.35,66.3,348.0,1,99%
21314,SMALL GLASS HEART TRINKET POT,AY,A,Y,109.13,48.17,221.0,1,99%
84836,ZINC METAL HEART DECORATION,AY,A,Y,193.65,78.9,377.0,1,99%
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,AY,A,Y,962.13,480.64,2082.0,1,99%
22722,SET OF 6 SPICE TINS PANTRY DESIGN,AZ,A,Z,36.74,174.27,443.0,1,99%
22698,PINK REGENCY TEACUP AND SAUCER,AY,A,Y,69.26,56.79,202.0,1,99%
22728,ALARM CLOCK BAKELIKE PINK,AZ,A,Z,43.87,79.23,228.0,1,99%
48173C,DOORMAT BLACK FLOCK,AZ,A,Z,41.19,33.52,119.0,1,99%
21231,SWEETHEART CERAMIC TRINKET BOX,AY,A,Y,189.68,90.89,401.0,1,99%
47590A,BLUE HAPPY BIRTHDAY BUNTING,AY,A,Y,46.98,21.93,98.0,1,99%
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,AZ,A,Z,32.29,20.63,80.0,1,99%
23344,JUMBO BAG 50'S CHRISTMAS,AZ,A,Z,16.51,447.36,1059.0,1,99%
21955,DOORMAT UNION JACK GUNS AND ROSES,AZ,A,Z,40.24,27.83,105.0,1,99%
21790,VINTAGE SNAP CARDS,AY,A,Y,227.2,171.34,626.0,1,99%
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,AZ,A,Z,21.8,180.74,443.0,1,99%
22605,WOODEN CROQUET GARDEN SET,AZ,A,Z,18.39,6.47,33.0,1,99%
22625,RED KITCHEN SCALES,AY,A,Y,23.69,19.28,69.0,1,99%
84406B,CREAM CUPID HEARTS COAT HANGER,AY,A,Y,74.26,28.41,140.0,1,99%
22607,WOODEN ROUNDERS GARDEN SET,AY,A,Y,25.91,9.7,49.0,1,99%
21791,VINTAGE HEADS AND TAILS CARD GAME,AY,A,Y,158.68,107.95,410.0,1,99%
22554,PLASTERS IN TIN WOODLAND ANIMALS,AY,A,Y,117.13,85.63,317.0,1,99%
21936,RED RETROSPOT PICNIC BAG,AY,A,Y,81.72,55.33,211.0,1,99%
84970S,HANGING HEART ZINC T-LIGHT HOLDER,AX,A,X,270.55,64.76,421.0,1,99%
22556,PLASTERS IN TIN CIRCUS PARADE,AY,A,Y,124.92,49.07,239.0,1,99%
37449,CERAMIC CAKE STAND + HANGING CAKES,AY,A,Y,24.37,9.96,48.0,1,99%
85014A,BLACK/BLUE POLKADOT UMBRELLA,AZ,A,Z,45.98,16.93,85.0,1,99%
20749,ASSORTED COLOUR MINI CASES,AY,A,Y,25.69,32.74,102.0,1,99%
22113,GREY HEART HOT WATER BOTTLE,AZ,A,Z,43.26,93.11,260.0,1,99%
22585,PACK OF 6 BIRDY GIFT TAGS,AY,A,Y,162.99,150.06,513.0,1,99%
23202,JUMBO BAG VINTAGE LEAF,AZ,A,Z,75.14,111.29,334.0,1,99%
22499,WOODEN UNION JACK BUNTING,AY,A,Y,37.38,4.62,48.0,1,99%
22941,CHRISTMAS LIGHTS 10 REINDEER,AZ,A,Z,13.61,59.91,153.0,1,99%
21210,SET OF 72 RETROSPOT PAPER  DOILIES,AY,A,Y,142.55,78.54,326.0,1,99%
22456,NATURAL SLATE CHALKBOARD LARGE,AY,A,Y,42.55,11.39,69.0,1,99%
22969,HOMEMADE JAM SCENTED CANDLES,AZ,A,Z,118.23,153.37,476.0,1,99%
21213,PACK OF 72 SKULL CAKE CASES,AY,A,Y,394.41,182.11,819.0,1,99%
21258,VICTORIAN SEWING BOX LARGE,AZ,A,Z,14.01,10.87,39.0,1,99%
23209,LUNCH BAG VINTAGE DOILY,AZ,A,Z,93.12,136.95,412.0,1,99%
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,AZ,A,Z,17.23,42.3,116.0,1,99%
22570,FELTCRAFT CUSHION RABBIT,AY,A,Y,50.92,78.03,233.0,1,99%
22424,ENAMEL BREAD BIN CREAM,AY,A,Y,13.83,7.61,32.0,1,99%
23206,LUNCH BAG APPLE DESIGN,AZ,A,Z,96.11,149.46,444.0,1,99%
84997A,GREEN 3 PIECE MINI DOTS CUTLERY SET,AY,A,Y,49.61,36.47,135.0,1,99%
22294,HEART FILIGREE DOVE  SMALL,AY,A,Y,163.87,71.58,331.0,1,99%
22356,CHARLOTTE BAG PINK POLKADOT,AX,A,X,183.59,76.62,362.0,1,99%
21218,RED SPOTTY BISCUIT TIN,AY,A,Y,51.95,30.66,123.0,1,99%
48116,DOORMAT MULTICOLOUR STRIPE,AZ,A,Z,31.58,52.86,155.0,1,99%
22632,HAND WARMER RED RETROSPOT,AZ,A,Z,78.44,124.74,369.0,1,99%
22617,BAKING SET SPACEBOY DESIGN,AY,A,Y,34.24,58.72,171.0,1,99%
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,AZ,A,Z,165.38,92.84,382.0,1,99%
20723,STRAWBERRY CHARLOTTE BAG,AX,A,X,169.04,68.56,329.0,1,99%
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,AX,A,X,78.53,43.59,180.0,1,99%
22568,FELTCRAFT CUSHION OWL,AY,A,Y,42.48,79.18,227.0,1,99%
85150,LADIES & GENTLEMEN METAL SIGN,AY,A,Y,79.59,24.83,137.0,1,99%
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",AY,A,Y,37.08,19.86,83.0,1,99%
22273,FELTCRAFT DOLL MOLLY,AZ,A,Z,47.17,194.14,500.0,1,99%
22569,FELTCRAFT CUSHION BUTTERFLY,AY,A,Y,51.72,71.18,218.0,1,99%
21622,VINTAGE UNION JACK CUSHION COVER,AZ,A,Z,39.62,7.45,57.0,1,99%
22900,SET 2 TEA TOWELS I LOVE LONDON,AZ,A,Z,53.84,40.51,148.0,1,99%
22413,METAL SIGN TAKE IT OR LEAVE IT,AZ,A,Z,53.32,142.26,385.0,1,99%
48129,DOORMAT TOPIARY,AZ,A,Z,29.12,29.96,99.0,1,99%
22381,TOY TIDY PINK POLKADOT,AY,A,Y,87.52,58.01,223.0,1,99%
21174,POTTERING IN THE SHED METAL SIGN,AY,A,Y,84.12,100.9,319.0,1,99%
22558,CLOTHES PEGS RETROSPOT PACK 24,AY,A,Y,126.11,60.91,268.0,1,99%
22169,FAMILY ALBUM WHITE PICTURE FRAME,AY,A,Y,19.42,20.33,67.0,1,99%
22561,WOODEN SCHOOL COLOURING SET,AY,A,Y,102.67,36.28,187.0,1,99%
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,AY,A,Y,16.68,10.15,40.0,1,99%
22427,ENAMEL FLOWER JUG CREAM,AY,A,Y,31.43,33.96,111.0,1,99%
22952,60 CAKE CASES VINTAGE CHRISTMAS,AZ,A,Z,232.42,399.97,1164.0,1,99%
21908,CHOCOLATE THIS WAY METAL SIGN,AY,A,Y,89.73,70.8,255.0,1,99%
22061,LARGE CAKE STAND  HANGING STRAWBERY,AY,A,Y,20.26,20.12,67.0,1,99%
84949,SILVER HANGING T-LIGHT HOLDER,AY,A,Y,107.65,113.29,372.0,1,99%
71053,WHITE METAL LANTERN,AY,A,Y,47.98,24.0,104.0,1,99%
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,AY,A,Y,132.32,169.16,526.0,1,99%
47591D,PINK FAIRY CAKE CHILDRENS APRON,AY,A,Y,89.65,75.92,267.0,1,99%
22555,PLASTERS IN TIN STRONGMAN,AY,A,Y,105.04,43.87,207.0,1,99%
21035,SET/2 RED RETROSPOT TEA TOWELS,AY,A,Y,57.59,48.86,171.0,1,99%
22041,"RECORD FRAME 7"" SINGLE SIZE",AY,A,Y,66.2,55.57,196.0,1,99%
21121,SET/10 RED POLKADOT PARTY CANDLES,AY,A,Y,147.82,86.75,350.0,1,99%
22847,BREAD BIN DINER STYLE IVORY,AY,A,Y,9.29,14.69,44.0,1,99%
21484,CHICK GREY HOT WATER BOTTLE,AZ,A,Z,39.31,56.51,171.0,1,99%
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,AY,A,Y,43.98,37.15,131.0,1,99%
22505,MEMO BOARD COTTAGE DESIGN,AY,A,Y,36.72,15.96,74.0,1,99%
22147,FELTCRAFT BUTTERFLY HEARTS,AY,A,Y,108.33,220.48,622.0,1,99%
22560,TRADITIONAL MODELLING CLAY,AY,A,Y,120.95,166.38,509.0,1,99%
22352,LUNCH BOX WITH CUTLERY RETROSPOT,AX,A,X,68.18,33.12,145.0,1,99%
22297,HEART IVORY TRELLIS SMALL,AY,A,Y,139.22,37.8,227.0,1,99%
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,AY,A,Y,186.69,193.86,638.0,1,99%
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,AX,A,X,176.74,66.56,332.0,1,99%
21914,BLUE HARMONICA IN BOX,AY,A,Y,100.61,135.57,416.0,1,99%
22633,HAND WARMER UNION JACK,AZ,A,Z,53.52,180.14,473.0,1,99%
22776,SWEETHEART CAKESTAND 3 TIER,AY,A,Y,15.48,10.0,39.0,1,99%
21136,PAINTED METAL PEARS ASSORTED,AY,A,Y,96.11,43.67,198.0,1,99%
20718,RED RETROSPOT SHOPPER BAG,AX,A,X,129.99,50.38,247.0,1,99%
22557,PLASTERS IN TIN VINTAGE PAISLEY,AY,A,Y,95.25,39.1,186.0,1,99%
84992,72 SWEETHEART FAIRY CAKE CASES,AY,A,Y,343.78,133.38,655.0,1,99%
22366,DOORMAT AIRMAIL,AZ,A,Z,23.15,22.89,76.0,1,99%
21889,WOODEN BOX OF DOMINOES,AY,A,Y,104.23,103.17,345.0,1,99%
23240,SET OF 4 KNICK KNACK TINS DOILY,AZ,A,Z,25.34,32.22,100.0,1,99%
21156,RETROSPOT CHILDRENS APRON,AY,A,Y,84.57,69.64,247.0,1,99%
22654,DELUXE SEWING KIT,AY,A,Y,23.17,19.84,69.0,1,99%
21535,RED RETROSPOT SMALL MILK JUG,AY,A,Y,66.4,32.57,142.0,1,99%
22652,TRAVEL SEWING KIT,AY,A,Y,95.94,124.79,387.0,1,99%
21533,RETRO SPOT LARGE MILK JUG,AX,A,X,34.05,18.97,78.0,1,99%
21164,HOME SWEET HOME METAL SIGN,AY,A,Y,61.58,18.61,105.0,1,99%
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,AY,A,Y,17.6,2.83,24.0,1,99%
22993,SET OF 4 PANTRY JELLY MOULDS,AY,A,Y,90.72,98.97,321.0,1,99%
22837,HOT WATER BOTTLE BABUSHKA,AZ,A,Z,37.98,0.71,40.0,1,99%
22487,WHITE WOOD GARDEN PLANT LADDER,AY,A,Y,15.57,6.89,32.0,1,99%
21155,RED RETROSPOT PEG BAG,AY,A,Y,64.95,21.5,115.0,1,99%
23301,GARDENERS KNEELING PAD KEEP CALM,AZ,A,Z,36.48,306.31,750.0,1,99%
22191,IVORY DINER WALL CLOCK,AZ,A,Z,17.7,16.25,56.0,1,99%
22662,LUNCH BAG DOLLY GIRL DESIGN,AY,A,Y,92.73,75.83,269.0,1,99%
35004C,SET OF 3 COLOURED  FLYING DUCKS,AZ,A,Z,32.97,0.0,33.0,1,99%
22296,HEART IVORY TRELLIS LARGE,AY,A,Y,100.4,39.76,193.0,1,99%
22193,RED DINER WALL CLOCK,AY,A,Y,14.13,22.71,67.0,1,99%
22634,CHILDS BREAKFAST SET SPACEBOY,AY,A,Y,15.72,8.02,34.0,1,99%
21877,HOME SWEET HOME MUG,AY,A,Y,136.73,113.66,402.0,1,99%
22692,DOORMAT WELCOME TO OUR HOME,AZ,A,Z,16.84,32.18,92.0,1,99%
22759,SET OF 3 NOTEBOOKS IN PARCEL,AY,A,Y,72.61,146.16,413.0,1,99%
22690,DOORMAT HOME SWEET HOME BLUE,AZ,A,Z,22.57,25.05,81.0,1,99%
22635,CHILDS BREAKFAST SET DOLLY GIRL,AY,A,Y,15.95,6.75,32.0,1,99%
22367,CHILDRENS APRON SPACEBOY DESIGN,AX,A,X,71.55,50.4,189.0,1,99%
84375,SET OF 20 KIDS COOKIE CUTTERS,AY,A,Y,66.85,62.16,212.0,1,99%
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,AY,A,Y,21.6,23.68,77.0,1,99%
22619,SET OF 6 SOLDIER SKITTLES,AY,A,Y,31.68,46.94,141.0,1,99%
22333,RETROSPOT PARTY BAG + STICKER SET,AY,A,Y,96.05,55.09,224.0,1,99%
85232B,SET/3 RUSSIAN DOLL STACKING TINS,AZ,A,Z,33.23,1.88,38.0,1,99%
21891,TRADITIONAL WOODEN SKIPPING ROPE,AY,A,Y,98.17,171.73,498.0,1,99%
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,AY,A,Y,46.99,23.76,102.0,1,99%
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,AY,A,Y,28.84,60.44,170.0,1,99%
84378,SET OF 3 HEART COOKIE CUTTERS,AY,A,Y,100.09,131.81,407.0,1,99%
21844,RED RETROSPOT MUG,AY,A,Y,52.54,34.01,132.0,1,99%
22940,FELTCRAFT CHRISTMAS FAIRY,AZ,A,Z,25.85,36.71,111.0,1,99%
21094,SET/6 RED SPOTTY PAPER PLATES,AY,A,Y,195.53,103.83,437.0,1,99%
22365,DOORMAT RESPECTABLE HOUSE,AZ,A,Z,20.12,29.69,89.0,1,99%
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,AZ,A,Z,114.67,297.7,808.0,1,99%
21975,PACK OF 60 DINOSAUR CAKE CASES,AY,A,Y,308.08,180.5,729.0,1,99%
21165,BEWARE OF THE CAT METAL SIGN,AY,A,Y,89.96,57.9,225.0,1,99%
35970,ZINC FOLKART SLEIGH BELLS,AZ,A,Z,43.29,220.69,558.0,1,99%
82582,AREA PATROLLED METAL SIGN,AY,A,Y,64.27,72.94,234.0,1,99%
22946,WOODEN ADVENT CALENDAR CREAM,AZ,A,Z,7.57,14.61,42.0,1,99%
21122,SET/10 PINK POLKADOT PARTY CANDLES,AY,A,Y,121.74,55.59,251.0,1,99%
22606,WOODEN SKITTLES GARDEN SET,AZ,A,Z,11.33,3.71,20.0,1,99%
22730,ALARM CLOCK BAKELIKE IVORY,AY,A,Y,26.13,44.67,130.0,1,99%
21770,OPEN CLOSED METAL SIGN,AZ,A,Z,26.42,18.99,71.0,1,99%
17003,BROCADE RING PURSE,AZ,A,Z,696.42,348.55,1509.0,1,99%
21912,VINTAGE SNAKES & LADDERS,AY,A,Y,32.96,28.23,99.0,1,99%
22423,REGENCY CAKESTAND 3 TIER,AX,A,X,251.85,79.99,649.0,2,90%
85123A,WHITE HANGING HEART T-LIGHT HOLDER,AX,A,X,920.37,285.42,2357.0,2,90%
85099B,JUMBO BAG RED RETROSPOT,AX,A,X,877.32,482.95,2629.0,2,90%
47566,PARTY BUNTING,AY,A,Y,277.99,173.56,870.0,2,90%
84879,ASSORTED COLOUR BIRD ORNAMENT,AY,A,Y,737.17,240.32,1909.0,2,90%
22086,PAPER CHAIN KIT 50'S CHRISTMAS,AZ,A,Z,216.7,681.73,1667.0,2,90%
23166,MEDIUM CERAMIC TOP STORAGE JAR,AZ,A,Z,824.81,722.9,2958.0,2,90%
79321,CHILLI LIGHTS,AY,A,Y,130.52,188.96,603.0,2,90%
22197,SMALL POPCORN HOLDER,AY,A,Y,656.61,1332.55,3725.0,2,90%
22386,JUMBO BAG PINK POLKADOT,AX,A,X,346.33,233.64,1116.0,2,90%
20725,LUNCH BAG RED RETROSPOT,AX,A,X,382.91,117.84,979.0,2,90%
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,AZ,A,Z,266.16,483.44,1407.0,2,90%
85099F,JUMBO BAG STRAWBERRY,AX,A,X,354.66,221.79,1111.0,2,90%
48138,DOORMAT UNION FLAG,AY,A,Y,95.83,67.99,315.0,2,90%
23084,RABBIT NIGHT LIGHT,AZ,A,Z,54.77,1878.63,3510.0,2,90%
20685,DOORMAT RED RETROSPOT,AY,A,Y,97.1,39.47,266.0,2,90%
21137,BLACK RECORD COVER FRAME,AY,A,Y,149.11,270.87,789.0,2,90%
21843,RED RETROSPOT CAKE STAND,AY,A,Y,58.57,30.73,173.0,2,90%
21931,JUMBO STORAGE BAG SUKI,AX,A,X,274.19,81.2,695.0,2,90%
22502,PICNIC BASKET WICKER SMALL,AY,A,Y,40.55,4.2,89.0,2,90%
21621,VINTAGE UNION JACK BUNTING,AY,A,Y,70.66,19.54,177.0,2,90%
15056N,EDWARDIAN PARASOL NATURAL,AY,A,Y,115.2,51.44,324.0,2,90%
22114,HOT WATER BOTTLE TEA AND SYMPATHY,AY,A,Y,80.37,190.59,506.0,2,90%
85099C,JUMBO  BAG BAROQUE BLACK WHITE,AX,A,X,288.49,125.58,804.0,2,90%
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,AZ,A,Z,117.38,433.87,1020.0,2,90%
22112,CHOCOLATE HOT WATER BOTTLE,AY,A,Y,81.05,128.56,395.0,2,90%
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,AX,A,X,249.9,131.91,739.0,2,90%
82484,WOOD BLACK BOARD ANT WHITE FINISH,AZ,A,Z,93.47,69.54,313.0,2,90%
22470,HEART OF WICKER LARGE,AY,A,Y,154.1,184.25,642.0,2,90%
22139,RETROSPOT TEA SET CERAMIC 11 PC,AY,A,Y,94.19,81.2,335.0,2,90%
22178,VICTORIAN GLASS HANGING T-LIGHT,AY,A,Y,358.83,271.02,1208.0,2,90%
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,AX,A,X,183.56,48.79,455.0,2,90%
21212,PACK OF 72 RETROSPOT CAKE CASES,AX,A,X,940.62,256.85,2346.0,2,90%
21733,RED HANGING HEART T-LIGHT HOLDER,AY,A,Y,158.75,149.08,587.0,2,90%
22090,PAPER BUNTING RETROSPOT,AY,A,Y,169.41,58.96,446.0,2,90%
21181,PLEASE ONE PERSON METAL SIGN,AY,A,Y,215.24,283.53,944.0,2,90%
22111,SCOTTIE DOG HOT WATER BOTTLE,AY,A,Y,75.71,116.72,363.0,2,90%
21929,JUMBO BAG PINK VINTAGE PAISLEY,AY,A,Y,251.55,135.46,748.0,2,90%
21232,STRAWBERRY CERAMIC TRINKET BOX,AX,A,X,368.87,135.55,983.0,2,90%
84946,ANTIQUE SILVER TEA GLASS ETCHED,AX,A,X,323.22,281.61,1156.0,2,90%
22189,CREAM HEART CARD HOLDER,AZ,A,Z,157.24,118.97,530.0,2,90%
15056BL,EDWARDIAN PARASOL BLACK,AZ,A,Z,93.85,40.34,261.0,2,90%
22469,HEART OF WICKER SMALL,AY,A,Y,240.74,260.38,953.0,2,90%
48194,DOORMAT HEARTS,AY,A,Y,72.42,77.07,284.0,2,90%
21731,RED TOADSTOOL LED NIGHT LIGHT,AY,A,Y,264.51,140.19,783.0,2,90%
22457,NATURAL SLATE HEART CHALKBOARD,AY,A,Y,135.1,86.11,426.0,2,90%
82494L,WOODEN FRAME ANTIQUE WHITE,AX,A,X,142.7,63.74,401.0,2,90%
21754,HOME BUILDING BLOCK WORD,AX,A,X,76.2,12.51,175.0,2,90%
48187,DOORMAT NEW ENGLAND,AY,A,Y,66.89,74.57,269.0,2,90%
21928,JUMBO BAG SCANDINAVIAN PAISLEY,AX,A,X,235.31,78.52,613.0,2,90%
21523,DOORMAT FANCY FONT HOME SWEET HOME,AY,A,Y,66.03,43.79,211.0,2,90%
22138,BAKING SET 9 PIECE RETROSPOT,AY,A,Y,71.04,157.68,428.0,2,90%
20727,LUNCH BAG  BLACK SKULL.,AY,A,Y,250.18,88.03,660.0,2,90%
48185,DOORMAT FAIRY CAKE,AZ,A,Z,64.45,73.07,261.0,2,90%
21623,VINTAGE UNION JACK MEMOBOARD,AZ,A,Z,62.85,43.2,204.0,2,90%
22355,CHARLOTTE BAG SUKI DESIGN,AX,A,X,284.13,174.05,883.0,2,90%
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,AY,A,Y,134.22,148.83,538.0,2,90%
22326,ROUND SNACK BOXES SET OF4 WOODLAND,AY,A,Y,139.53,89.34,441.0,2,90%
21175,GIN + TONIC DIET METAL SIGN,AY,A,Y,185.99,106.77,565.0,2,90%
84078A,SET/4 WHITE RETRO STORAGE CUBES,AZ,A,Z,11.49,7.34,36.0,2,90%
22383,LUNCH BAG SUKI  DESIGN,AX,A,X,243.03,120.48,704.0,2,90%
84029E,RED WOOLLY HOTTIE WHITE HEART.,AZ,A,Z,86.59,149.72,444.0,2,90%
23298,SPOTTY BUNTING,AZ,A,Z,66.28,114.61,340.0,2,90%
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,AY,A,Y,99.8,66.94,321.0,2,90%
21915,RED  HARMONICA IN BOX,AY,A,Y,291.89,498.25,1486.0,2,90%
20728,LUNCH BAG CARS BLUE,AY,A,Y,236.44,68.79,597.0,2,90%
23203,JUMBO BAG VINTAGE DOILY,AZ,A,Z,123.61,265.0,727.0,2,90%
82482,WOODEN PICTURE FRAME WHITE FINISH,AX,A,X,154.78,74.22,444.0,2,90%
20713,JUMBO BAG OWLS,AY,A,Y,183.47,177.13,688.0,2,90%
22083,PAPER CHAIN KIT RETROSPOT,AY,A,Y,133.03,36.02,331.0,2,90%
85066,CREAM SWEETHEART MINI CHEST,AY,A,Y,26.13,29.1,105.0,2,90%
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,AY,A,Y,91.86,54.05,282.0,2,90%
20726,LUNCH BAG WOODLAND,AY,A,Y,216.08,77.53,572.0,2,90%
82486,WOOD S/3 CABINET ANT WHITE FINISH,AX,A,X,44.2,19.4,124.0,2,90%
22960,JAM MAKING SET WITH JARS,AY,A,Y,68.63,81.0,284.0,2,90%
22699,ROSES REGENCY TEACUP AND SAUCER,AY,A,Y,114.92,70.35,357.0,2,90%
21166,COOK WITH WINE METAL SIGN,AY,A,Y,167.19,215.15,724.0,2,90%
23284,DOORMAT KEEP CALM AND COME IN,AZ,A,Z,24.66,236.74,478.0,2,90%
22720,SET OF 3 CAKE TINS PANTRY DESIGN,AZ,A,Z,54.33,90.45,272.0,2,90%
22629,SPACEBOY LUNCH BOX,AY,A,Y,185.0,90.22,533.0,2,90%
20712,JUMBO BAG WOODLAND ANIMALS,AY,A,Y,157.3,104.07,503.0,2,90%
21485,RETROSPOT HEART HOT WATER BOTTLE,AY,A,Y,60.1,116.36,331.0,2,90%
22727,ALARM CLOCK BAKELIKE RED,AZ,A,Z,60.58,154.45,401.0,2,90%
22328,ROUND SNACK BOXES SET OF 4 FRUITS,AY,A,Y,125.09,45.05,332.0,2,90%
21524,DOORMAT SPOTTY HOME SWEET HOME,AY,A,Y,50.62,25.57,148.0,2,90%
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,AY,A,Y,84.37,52.74,264.0,2,90%
20724,RED RETROSPOT CHARLOTTE BAG,AX,A,X,283.76,146.24,832.0,2,90%
21755,LOVE BUILDING BLOCK WORD,AX,A,X,56.81,14.54,140.0,2,90%
22379,RECYCLING BAG RETROSPOT,AY,A,Y,146.99,94.77,466.0,2,90%
22382,LUNCH BAG SPACEBOY DESIGN,AX,A,X,184.43,95.48,542.0,2,90%
22384,LUNCH BAG PINK POLKADOT,AX,A,X,202.39,106.27,597.0,2,90%
22666,RECIPE BOX PANTRY YELLOW DESIGN,AY,A,Y,79.8,154.29,439.0,2,90%
22630,DOLLY GIRL LUNCH BOX,AY,A,Y,165.68,86.7,488.0,2,90%
15036,ASSORTED COLOURS SILK FAN,AY,A,Y,453.3,280.77,1415.0,2,90%
22726,ALARM CLOCK BAKELIKE GREEN,AY,A,Y,51.51,89.23,265.0,2,90%
22385,JUMBO BAG SPACEBOY DESIGN,AY,A,Y,157.47,94.96,487.0,2,90%
22865,HAND WARMER OWL DESIGN,AZ,A,Z,90.82,269.26,669.0,2,90%
22077,6 RIBBONS RUSTIC CHARM,AX,A,X,148.08,98.03,474.0,2,90%
85152,HAND OVER THE CHOCOLATE   SIGN,AY,A,Y,142.2,163.65,581.0,2,90%
85014B,RED RETROSPOT UMBRELLA,AZ,A,Z,58.42,33.22,177.0,2,90%
48184,DOORMAT ENGLISH ROSE,AY,A,Y,42.09,51.43,177.0,2,90%
23245,SET OF 3 REGENCY CAKE TINS,AZ,A,Z,39.63,65.54,198.0,2,90%
21479,WHITE SKULL HOT WATER BOTTLE,AZ,A,Z,47.76,110.27,295.0,2,90%
22697,GREEN REGENCY TEACUP AND SAUCER,AY,A,Y,84.13,59.87,277.0,2,90%
23199,JUMBO BAG APPLES,AZ,A,Z,110.81,208.96,600.0,2,90%
22501,PICNIC BASKET WICKER LARGE,AZ,A,Z,27.44,5.39,65.0,2,90%
20679,EDWARDIAN PARASOL RED,AZ,A,Z,59.94,23.21,162.0,2,90%
21217,RED SPOTTY ROUND CAKE TINS,AY,A,Y,28.86,9.91,76.0,2,90%
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,AZ,A,Z,57.95,66.22,236.0,2,90%
22659,LUNCH BOX I LOVE LONDON,AY,A,Y,145.41,121.58,511.0,2,90%
47590B,PINK HAPPY BIRTHDAY BUNTING,AY,A,Y,57.6,24.98,160.0,2,90%
