sku_a,product_a,sku_b,product_b,support,confidence,lift,strength,co_stock_rule,class_a
20728,LUNCH BAG CARS BLUE,20727,LUNCH BAG  BLACK SKULL.,0.0264,0.4285,6.1224,strong,1,AY
20727,LUNCH BAG  BLACK SKULL.,20728,LUNCH BAG CARS BLUE,0.0264,0.377,6.1224,strong,1,AY
22384,LUNCH BAG PINK POLKADOT,22383,LUNCH BAG SUKI  DESIGN,0.0273,0.436,6.0941,strong,1,AX
22383,LUNCH BAG SUKI  DESIGN,22384,LUNCH BAG PINK POLKADOT,0.0273,0.3821,6.0941,strong,1,AX
84991,60 TEATIME FAIRY CAKE CASES,21212,PACK OF 72 RETROSPOT CAKE CASES,0.0357,0.563,6.054,strong,1,AX
21212,PACK OF 72 RETROSPOT CAKE CASES,84991,60 TEATIME FAIRY CAKE CASES,0.0357,0.3841,6.054,strong,1,AX
85099C,JUMBO  BAG BAROQUE BLACK WHITE,21931,JUMBO STORAGE BAG SUKI,0.0234,0.4199,6.0488,strong,1,AX
21931,JUMBO STORAGE BAG SUKI,85099C,JUMBO  BAG BAROQUE BLACK WHITE,0.0234,0.3371,6.0488,strong,1,AX
21212,PACK OF 72 RETROSPOT CAKE CASES,22417,PACK OF 60 SPACEBOY CAKE CASES,0.0185,0.1987,6.0398,strong,1,AX
22417,PACK OF 60 SPACEBOY CAKE CASES,21212,PACK OF 72 RETROSPOT CAKE CASES,0.0185,0.5617,6.0398,strong,1,AY
21213,PACK OF 72 SKULL CAKE CASES,21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.0158,0.3588,6.0355,strong,1,AY
21977,PACK OF 60 PINK PAISLEY CAKE CASES,21213,PACK OF 72 SKULL CAKE CASES,0.0158,0.2661,6.0355,strong,1,AX
20725,LUNCH BAG RED RETROSPOT,22384,LUNCH BAG PINK POLKADOT,0.0345,0.3784,6.0343,strong,1,AX
22384,LUNCH BAG PINK POLKADOT,20725,LUNCH BAG RED RETROSPOT,0.0345,0.5502,6.0343,strong,1,AX
20727,LUNCH BAG  BLACK SKULL.,22383,LUNCH BAG SUKI  DESIGN,0.0302,0.4316,6.0322,strong,1,AY
22383,LUNCH BAG SUKI  DESIGN,20727,LUNCH BAG  BLACK SKULL.,0.0302,0.4222,6.0322,strong,1,AX
21212,PACK OF 72 RETROSPOT CAKE CASES,21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.0332,0.3565,5.997,strong,1,AX
21977,PACK OF 60 PINK PAISLEY CAKE CASES,21212,PACK OF 72 RETROSPOT CAKE CASES,0.0332,0.5577,5.997,strong,1,AX
21931,JUMBO STORAGE BAG SUKI,21928,JUMBO BAG SCANDINAVIAN PAISLEY,0.0191,0.2752,5.9941,strong,1,AX
21928,JUMBO BAG SCANDINAVIAN PAISLEY,21931,JUMBO STORAGE BAG SUKI,0.0191,0.4161,5.9941,strong,1,AX
22382,LUNCH BAG SPACEBOY DESIGN,20727,LUNCH BAG  BLACK SKULL.,0.0269,0.4185,5.9793,strong,1,AX
20727,LUNCH BAG  BLACK SKULL.,22382,LUNCH BAG SPACEBOY DESIGN,0.0269,0.3842,5.9793,strong,1,AY
20726,LUNCH BAG WOODLAND,22383,LUNCH BAG SUKI  DESIGN,0.0245,0.4272,5.9708,strong,1,AY
22383,LUNCH BAG SUKI  DESIGN,20726,LUNCH BAG WOODLAND,0.0245,0.3425,5.9708,strong,1,AX
21212,PACK OF 72 RETROSPOT CAKE CASES,84992,72 SWEETHEART FAIRY CAKE CASES,0.0239,0.2574,5.9106,strong,1,AX
84992,72 SWEETHEART FAIRY CAKE CASES,21212,PACK OF 72 RETROSPOT CAKE CASES,0.0239,0.5497,5.9106,strong,1,AY
21931,JUMBO STORAGE BAG SUKI,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0268,0.3856,5.8999,strong,1,AX
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,21931,JUMBO STORAGE BAG SUKI,0.0268,0.4096,5.8999,strong,1,AX
20725,LUNCH BAG RED RETROSPOT,20726,LUNCH BAG WOODLAND,0.0307,0.3372,5.8774,strong,1,AX
20726,LUNCH BAG WOODLAND,20725,LUNCH BAG RED RETROSPOT,0.0307,0.5359,5.8774,strong,1,AY
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,85099C,JUMBO  BAG BAROQUE BLACK WHITE,0.0213,0.3265,5.8591,strong,1,AX
85099C,JUMBO  BAG BAROQUE BLACK WHITE,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0213,0.383,5.8591,strong,1,AX
85099F,JUMBO BAG STRAWBERRY,21931,JUMBO STORAGE BAG SUKI,0.0225,0.4067,5.8582,strong,1,AX
21931,JUMBO STORAGE BAG SUKI,85099F,JUMBO BAG STRAWBERRY,0.0225,0.3242,5.8582,strong,1,AX
21929,JUMBO BAG PINK VINTAGE PAISLEY,21931,JUMBO STORAGE BAG SUKI,0.0195,0.4063,5.853,strong,1,AY
21931,JUMBO STORAGE BAG SUKI,21929,JUMBO BAG PINK VINTAGE PAISLEY,0.0195,0.2816,5.853,strong,1,AX
20712,JUMBO BAG WOODLAND ANIMALS,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0161,0.3816,5.8375,strong,1,AY
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,20712,JUMBO BAG WOODLAND ANIMALS,0.0161,0.2457,5.8375,strong,1,AX
22386,JUMBO BAG PINK POLKADOT,21929,JUMBO BAG PINK VINTAGE PAISLEY,0.0188,0.2807,5.8338,strong,1,AX
21929,JUMBO BAG PINK VINTAGE PAISLEY,22386,JUMBO BAG PINK POLKADOT,0.0188,0.3902,5.8338,strong,1,AY
21931,JUMBO STORAGE BAG SUKI,22386,JUMBO BAG PINK POLKADOT,0.0269,0.3869,5.785,strong,1,AX
22386,JUMBO BAG PINK POLKADOT,21931,JUMBO STORAGE BAG SUKI,0.0269,0.4016,5.785,strong,1,AX
85099C,JUMBO  BAG BAROQUE BLACK WHITE,21929,JUMBO BAG PINK VINTAGE PAISLEY,0.0155,0.2775,5.7667,strong,1,AX
21929,JUMBO BAG PINK VINTAGE PAISLEY,85099C,JUMBO  BAG BAROQUE BLACK WHITE,0.0155,0.3213,5.7667,strong,1,AY
22386,JUMBO BAG PINK POLKADOT,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0252,0.3762,5.7551,strong,1,AX
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,22386,JUMBO BAG PINK POLKADOT,0.0252,0.3849,5.7551,strong,1,AX
85099C,JUMBO  BAG BAROQUE BLACK WHITE,22386,JUMBO BAG PINK POLKADOT,0.0214,0.3835,5.7337,strong,1,AX
22386,JUMBO BAG PINK POLKADOT,85099C,JUMBO  BAG BAROQUE BLACK WHITE,0.0214,0.3195,5.7337,strong,1,AX
21212,PACK OF 72 RETROSPOT CAKE CASES,21210,SET OF 72 RETROSPOT PAPER  DOILIES,0.0183,0.1964,5.6778,strong,1,AX
21210,SET OF 72 RETROSPOT PAPER  DOILIES,21212,PACK OF 72 RETROSPOT CAKE CASES,0.0183,0.528,5.6778,strong,1,AY
20725,LUNCH BAG RED RETROSPOT,20727,LUNCH BAG  BLACK SKULL.,0.0359,0.3935,5.6216,strong,1,AX
20727,LUNCH BAG  BLACK SKULL.,20725,LUNCH BAG RED RETROSPOT,0.0359,0.5126,5.6216,strong,1,AY
22662,LUNCH BAG DOLLY GIRL DESIGN,20725,LUNCH BAG RED RETROSPOT,0.0151,0.5096,5.5886,strong,1,AY
20725,LUNCH BAG RED RETROSPOT,22662,LUNCH BAG DOLLY GIRL DESIGN,0.0151,0.1656,5.5886,strong,1,AX
20728,LUNCH BAG CARS BLUE,20725,LUNCH BAG RED RETROSPOT,0.0312,0.507,5.5607,strong,1,AY
20725,LUNCH BAG RED RETROSPOT,20728,LUNCH BAG CARS BLUE,0.0312,0.3424,5.5607,strong,1,AX
85099F,JUMBO BAG STRAWBERRY,85099B,JUMBO BAG RED RETROSPOT,0.0355,0.6413,5.4002,strong,1,AX
85099B,JUMBO BAG RED RETROSPOT,85099F,JUMBO BAG STRAWBERRY,0.0355,0.2988,5.4002,strong,1,AX
20725,LUNCH BAG RED RETROSPOT,22383,LUNCH BAG SUKI  DESIGN,0.0351,0.3853,5.3853,strong,1,AX
22383,LUNCH BAG SUKI  DESIGN,20725,LUNCH BAG RED RETROSPOT,0.0351,0.491,5.3853,strong,1,AX
85099B,JUMBO BAG RED RETROSPOT,22386,JUMBO BAG PINK POLKADOT,0.0426,0.3589,5.3656,strong,1,AX
22386,JUMBO BAG PINK POLKADOT,85099B,JUMBO BAG RED RETROSPOT,0.0426,0.6372,5.3656,strong,1,AX
20725,LUNCH BAG RED RETROSPOT,22382,LUNCH BAG SPACEBOY DESIGN,0.03,0.329,5.1194,strong,1,AX
22382,LUNCH BAG SPACEBOY DESIGN,20725,LUNCH BAG RED RETROSPOT,0.03,0.4668,5.1194,strong,1,AX
20712,JUMBO BAG WOODLAND ANIMALS,85099B,JUMBO BAG RED RETROSPOT,0.0255,0.605,5.0941,strong,1,AY
85099B,JUMBO BAG RED RETROSPOT,20712,JUMBO BAG WOODLAND ANIMALS,0.0255,0.2144,5.0941,strong,1,AX
85099B,JUMBO BAG RED RETROSPOT,20713,JUMBO BAG OWLS,0.0234,0.1968,5.0561,strong,1,AX
20713,JUMBO BAG OWLS,85099B,JUMBO BAG RED RETROSPOT,0.0234,0.6005,5.0561,strong,1,AY
21928,JUMBO BAG SCANDINAVIAN PAISLEY,85099B,JUMBO BAG RED RETROSPOT,0.0275,0.5995,5.0479,strong,1,AX
85099B,JUMBO BAG RED RETROSPOT,21928,JUMBO BAG SCANDINAVIAN PAISLEY,0.0275,0.2317,5.0479,strong,1,AX
85099B,JUMBO BAG RED RETROSPOT,20711,JUMBO BAG TOYS,0.0188,0.1583,5.0427,strong,1,AX
20711,JUMBO BAG TOYS,85099B,JUMBO BAG RED RETROSPOT,0.0188,0.5989,5.0427,strong,1,AY
85099B,JUMBO BAG RED RETROSPOT,85099C,JUMBO  BAG BAROQUE BLACK WHITE,0.0332,0.2797,5.0198,strong,1,AX
85099C,JUMBO  BAG BAROQUE BLACK WHITE,85099B,JUMBO BAG RED RETROSPOT,0.0332,0.5961,5.0198,strong,1,AX
21931,JUMBO STORAGE BAG SUKI,22355,CHARLOTTE BAG SUKI DESIGN,0.018,0.2597,5.0146,strong,1,AX
22355,CHARLOTTE BAG SUKI DESIGN,21931,JUMBO STORAGE BAG SUKI,0.018,0.3481,5.0146,strong,1,AX
85099B,JUMBO BAG RED RETROSPOT,22385,JUMBO BAG SPACEBOY DESIGN,0.022,0.1855,4.9874,moderate,0,AX
22385,JUMBO BAG SPACEBOY DESIGN,85099B,JUMBO BAG RED RETROSPOT,0.022,0.5923,4.9874,moderate,0,AY
22383,LUNCH BAG SUKI  DESIGN,22355,CHARLOTTE BAG SUKI DESIGN,0.018,0.2516,4.858,moderate,0,AX
22355,CHARLOTTE BAG SUKI DESIGN,22383,LUNCH BAG SUKI  DESIGN,0.018,0.3476,4.858,moderate,0,AX
21931,JUMBO STORAGE BAG SUKI,85099B,JUMBO BAG RED RETROSPOT,0.0396,0.5709,4.8076,moderate,0,AX
85099B,JUMBO BAG RED RETROSPOT,21931,JUMBO STORAGE BAG SUKI,0.0396,0.3338,4.8076,moderate,0,AX
85099B,JUMBO BAG RED RETROSPOT,21929,JUMBO BAG PINK VINTAGE PAISLEY,0.0273,0.2302,4.7848,moderate,0,AX
21929,JUMBO BAG PINK VINTAGE PAISLEY,85099B,JUMBO BAG RED RETROSPOT,0.0273,0.5682,4.7848,moderate,0,AY
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,85099F,JUMBO BAG STRAWBERRY,0.0172,0.263,4.7531,moderate,0,AX
85099F,JUMBO BAG STRAWBERRY,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0172,0.3107,4.7531,moderate,0,AX
23199,JUMBO BAG APPLES,85099B,JUMBO BAG RED RETROSPOT,0.0163,0.5594,4.7106,moderate,0,AZ
85099B,JUMBO BAG RED RETROSPOT,23199,JUMBO BAG APPLES,0.0163,0.1372,4.7106,moderate,0,AX
22423,REGENCY CAKESTAND 3 TIER,22698,PINK REGENCY TEACUP AND SAUCER,0.0165,0.1435,4.6778,moderate,0,AX
22698,PINK REGENCY TEACUP AND SAUCER,22423,REGENCY CAKESTAND 3 TIER,0.0165,0.5389,4.6778,moderate,0,AY
85099B,JUMBO BAG RED RETROSPOT,21930,JUMBO STORAGE BAG SKULLS,0.0217,0.1827,4.6482,moderate,0,AX
21930,JUMBO STORAGE BAG SKULLS,85099B,JUMBO BAG RED RETROSPOT,0.0217,0.552,4.6482,moderate,0,AX
22697,GREEN REGENCY TEACUP AND SAUCER,22423,REGENCY CAKESTAND 3 TIER,0.0215,0.5333,4.6289,moderate,0,AY
22423,REGENCY CAKESTAND 3 TIER,22697,GREEN REGENCY TEACUP AND SAUCER,0.0215,0.1868,4.6289,moderate,0,AX
22699,ROSES REGENCY TEACUP AND SAUCER,22423,REGENCY CAKESTAND 3 TIER,0.0222,0.5239,4.5479,moderate,0,AY
22423,REGENCY CAKESTAND 3 TIER,22699,ROSES REGENCY TEACUP AND SAUCER,0.0222,0.1927,4.5479,moderate,0,AX
85099B,JUMBO BAG RED RETROSPOT,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0347,0.2923,4.4717,moderate,0,AX
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,85099B,JUMBO BAG RED RETROSPOT,0.0347,0.5311,4.4717,moderate,0,AX
22139,RETROSPOT TEA SET CERAMIC 11 PC,22138,BAKING SET 9 PIECE RETROSPOT,0.0156,0.2511,4.4369,moderate,0,AY
22138,BAKING SET 9 PIECE RETROSPOT,22139,RETROSPOT TEA SET CERAMIC 11 PC,0.0156,0.2764,4.4369,moderate,0,AY
20723,STRAWBERRY CHARLOTTE BAG,20725,LUNCH BAG RED RETROSPOT,0.0166,0.4032,4.4219,moderate,0,AX
20725,LUNCH BAG RED RETROSPOT,20723,STRAWBERRY CHARLOTTE BAG,0.0166,0.182,4.4219,moderate,0,AX
20727,LUNCH BAG  BLACK SKULL.,22355,CHARLOTTE BAG SUKI DESIGN,0.016,0.2286,4.414,moderate,0,AY
22355,CHARLOTTE BAG SUKI DESIGN,20727,LUNCH BAG  BLACK SKULL.,0.016,0.3089,4.414,moderate,0,AX
22384,LUNCH BAG PINK POLKADOT,22386,JUMBO BAG PINK POLKADOT,0.0184,0.2932,4.3835,moderate,0,AX
22386,JUMBO BAG PINK POLKADOT,22384,LUNCH BAG PINK POLKADOT,0.0184,0.2749,4.3835,moderate,0,AX
21733,RED HANGING HEART T-LIGHT HOLDER,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0371,0.7077,4.3829,moderate,0,AY
85123A,WHITE HANGING HEART T-LIGHT HOLDER,21733,RED HANGING HEART T-LIGHT HOLDER,0.0371,0.2296,4.3829,moderate,0,AX
21931,JUMBO STORAGE BAG SUKI,22383,LUNCH BAG SUKI  DESIGN,0.0216,0.3113,4.3508,moderate,0,AX
22383,LUNCH BAG SUKI  DESIGN,21931,JUMBO STORAGE BAG SUKI,0.0216,0.302,4.3508,moderate,0,AX
22356,CHARLOTTE BAG PINK POLKADOT,20725,LUNCH BAG RED RETROSPOT,0.0186,0.3933,4.3135,moderate,0,AX
20725,LUNCH BAG RED RETROSPOT,22356,CHARLOTTE BAG PINK POLKADOT,0.0186,0.2039,4.3135,moderate,0,AX
20727,LUNCH BAG  BLACK SKULL.,20724,RED RETROSPOT CHARLOTTE BAG,0.0177,0.2529,4.1635,moderate,0,AY
20724,RED RETROSPOT CHARLOTTE BAG,20727,LUNCH BAG  BLACK SKULL.,0.0177,0.2914,4.1635,moderate,0,AX
20724,RED RETROSPOT CHARLOTTE BAG,20725,LUNCH BAG RED RETROSPOT,0.0229,0.3769,4.1336,moderate,0,AX
20725,LUNCH BAG RED RETROSPOT,20724,RED RETROSPOT CHARLOTTE BAG,0.0229,0.2511,4.1336,moderate,0,AX
20728,LUNCH BAG CARS BLUE,20724,RED RETROSPOT CHARLOTTE BAG,0.0154,0.2506,4.1261,moderate,0,AY
20724,RED RETROSPOT CHARLOTTE BAG,20728,LUNCH BAG CARS BLUE,0.0154,0.2541,4.1261,moderate,0,AX
85099B,JUMBO BAG RED RETROSPOT,22379,RECYCLING BAG RETROSPOT,0.0229,0.1928,4.1216,moderate,0,AX
22379,RECYCLING BAG RETROSPOT,85099B,JUMBO BAG RED RETROSPOT,0.0229,0.4895,4.1216,moderate,0,AY
20718,RED RETROSPOT SHOPPER BAG,85099B,JUMBO BAG RED RETROSPOT,0.0171,0.4728,3.981,moderate,0,AX
85099B,JUMBO BAG RED RETROSPOT,20718,RED RETROSPOT SHOPPER BAG,0.0171,0.144,3.981,moderate,0,AX
20725,LUNCH BAG RED RETROSPOT,22355,CHARLOTTE BAG SUKI DESIGN,0.0188,0.2059,3.976,moderate,0,AX
22355,CHARLOTTE BAG SUKI DESIGN,20725,LUNCH BAG RED RETROSPOT,0.0188,0.3625,3.976,moderate,0,AX
85099B,JUMBO BAG RED RETROSPOT,23203,JUMBO BAG VINTAGE DOILY,0.0172,0.145,3.9501,moderate,0,AX
23203,JUMBO BAG VINTAGE DOILY,85099B,JUMBO BAG RED RETROSPOT,0.0172,0.4691,3.9501,moderate,0,AZ
20724,RED RETROSPOT CHARLOTTE BAG,22383,LUNCH BAG SUKI  DESIGN,0.017,0.2791,3.9014,moderate,0,AX
22383,LUNCH BAG SUKI  DESIGN,20724,RED RETROSPOT CHARLOTTE BAG,0.017,0.237,3.9014,moderate,0,AX
20724,RED RETROSPOT CHARLOTTE BAG,21931,JUMBO STORAGE BAG SUKI,0.0163,0.2688,3.8719,moderate,0,AX
21931,JUMBO STORAGE BAG SUKI,20724,RED RETROSPOT CHARLOTTE BAG,0.0163,0.2352,3.8719,moderate,0,AX
21212,PACK OF 72 RETROSPOT CAKE CASES,21080,SET/20 RED RETROSPOT PAPER NAPKINS,0.0226,0.2429,3.8413,moderate,0,AX
21080,SET/20 RED RETROSPOT PAPER NAPKINS,21212,PACK OF 72 RETROSPOT CAKE CASES,0.0226,0.3572,3.8413,moderate,0,AX
20725,LUNCH BAG RED RETROSPOT,20719,WOODLAND CHARLOTTE BAG,0.0161,0.1771,3.7744,moderate,0,AX
20719,WOODLAND CHARLOTTE BAG,20725,LUNCH BAG RED RETROSPOT,0.0161,0.3441,3.7744,moderate,0,AX
21212,PACK OF 72 RETROSPOT CAKE CASES,20719,WOODLAND CHARLOTTE BAG,0.0162,0.1746,3.721,moderate,0,AX
20719,WOODLAND CHARLOTTE BAG,21212,PACK OF 72 RETROSPOT CAKE CASES,0.0162,0.3461,3.721,moderate,0,AX
21212,PACK OF 72 RETROSPOT CAKE CASES,22356,CHARLOTTE BAG PINK POLKADOT,0.0164,0.1759,3.72,moderate,0,AX
22356,CHARLOTTE BAG PINK POLKADOT,21212,PACK OF 72 RETROSPOT CAKE CASES,0.0164,0.346,3.72,moderate,0,AX
20724,RED RETROSPOT CHARLOTTE BAG,21212,PACK OF 72 RETROSPOT CAKE CASES,0.0204,0.3366,3.6194,moderate,0,AX
21212,PACK OF 72 RETROSPOT CAKE CASES,20724,RED RETROSPOT CHARLOTTE BAG,0.0204,0.2198,3.6194,moderate,0,AX
21212,PACK OF 72 RETROSPOT CAKE CASES,22355,CHARLOTTE BAG SUKI DESIGN,0.0167,0.1797,3.4706,moderate,0,AX
22355,CHARLOTTE BAG SUKI DESIGN,21212,PACK OF 72 RETROSPOT CAKE CASES,0.0167,0.3228,3.4706,moderate,0,AX
20724,RED RETROSPOT CHARLOTTE BAG,21232,STRAWBERRY CERAMIC TRINKET BOX,0.0152,0.2496,3.4476,moderate,0,AX
21232,STRAWBERRY CERAMIC TRINKET BOX,20724,RED RETROSPOT CHARLOTTE BAG,0.0152,0.2094,3.4476,moderate,0,AX
21232,STRAWBERRY CERAMIC TRINKET BOX,84991,60 TEATIME FAIRY CAKE CASES,0.0157,0.2168,3.417,moderate,0,AX
84991,60 TEATIME FAIRY CAKE CASES,21232,STRAWBERRY CERAMIC TRINKET BOX,0.0157,0.2474,3.417,moderate,0,AX
20724,RED RETROSPOT CHARLOTTE BAG,85099B,JUMBO BAG RED RETROSPOT,0.0244,0.402,3.3847,moderate,0,AX
85099B,JUMBO BAG RED RETROSPOT,20724,RED RETROSPOT CHARLOTTE BAG,0.0244,0.2056,3.3847,moderate,0,AX
21931,JUMBO STORAGE BAG SUKI,20727,LUNCH BAG  BLACK SKULL.,0.0158,0.2279,3.2556,moderate,0,AX
20727,LUNCH BAG  BLACK SKULL.,21931,JUMBO STORAGE BAG SUKI,0.0158,0.226,3.2556,moderate,0,AY
21931,JUMBO STORAGE BAG SUKI,20725,LUNCH BAG RED RETROSPOT,0.0206,0.2962,3.2487,moderate,0,AX
20725,LUNCH BAG RED RETROSPOT,21931,JUMBO STORAGE BAG SUKI,0.0206,0.2255,3.2487,moderate,0,AX
22383,LUNCH BAG SUKI  DESIGN,22386,JUMBO BAG PINK POLKADOT,0.0155,0.2161,3.2309,moderate,0,AX
22386,JUMBO BAG PINK POLKADOT,22383,LUNCH BAG SUKI  DESIGN,0.0155,0.2311,3.2309,moderate,0,AX
22356,CHARLOTTE BAG PINK POLKADOT,85099B,JUMBO BAG RED RETROSPOT,0.0179,0.3782,3.1843,moderate,0,AX
85099B,JUMBO BAG RED RETROSPOT,22356,CHARLOTTE BAG PINK POLKADOT,0.0179,0.1505,3.1843,moderate,0,AX
20723,STRAWBERRY CHARLOTTE BAG,85099B,JUMBO BAG RED RETROSPOT,0.0154,0.3735,3.1447,moderate,0,AX
85099B,JUMBO BAG RED RETROSPOT,20723,STRAWBERRY CHARLOTTE BAG,0.0154,0.1294,3.1447,moderate,0,AX
85099F,JUMBO BAG STRAWBERRY,20725,LUNCH BAG RED RETROSPOT,0.0158,0.2864,3.1411,moderate,0,AX
20725,LUNCH BAG RED RETROSPOT,85099F,JUMBO BAG STRAWBERRY,0.0158,0.1738,3.1411,moderate,0,AX
85099B,JUMBO BAG RED RETROSPOT,20725,LUNCH BAG RED RETROSPOT,0.033,0.2777,3.0457,moderate,0,AX
20725,LUNCH BAG RED RETROSPOT,85099B,JUMBO BAG RED RETROSPOT,0.033,0.3617,3.0457,moderate,0,AX
22386,JUMBO BAG PINK POLKADOT,20725,LUNCH BAG RED RETROSPOT,0.0183,0.2731,2.9951,moderate,0,AX
20725,LUNCH BAG RED RETROSPOT,22386,JUMBO BAG PINK POLKADOT,0.0183,0.2003,2.9951,moderate,0,AX
85099B,JUMBO BAG RED RETROSPOT,22355,CHARLOTTE BAG SUKI DESIGN,0.0183,0.1541,2.9751,moderate,0,AX
22355,CHARLOTTE BAG SUKI DESIGN,85099B,JUMBO BAG RED RETROSPOT,0.0183,0.3533,2.9751,moderate,0,AX
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,21212,PACK OF 72 RETROSPOT CAKE CASES,0.0167,0.2764,2.9717,moderate,0,AX
21212,PACK OF 72 RETROSPOT CAKE CASES,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,0.0167,0.1791,2.9717,moderate,0,AX
85099B,JUMBO BAG RED RETROSPOT,20719,WOODLAND CHARLOTTE BAG,0.0162,0.1367,2.9139,moderate,0,AX
20719,WOODLAND CHARLOTTE BAG,85099B,JUMBO BAG RED RETROSPOT,0.0162,0.3461,2.9139,moderate,0,AX
21212,PACK OF 72 RETROSPOT CAKE CASES,21232,STRAWBERRY CERAMIC TRINKET BOX,0.019,0.2041,2.8189,moderate,0,AX
21232,STRAWBERRY CERAMIC TRINKET BOX,21212,PACK OF 72 RETROSPOT CAKE CASES,0.019,0.2622,2.8189,moderate,0,AX
22219,LOVEBIRD HANGING DECORATION WHITE,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0155,0.4534,2.8082,moderate,0,AX
85123A,WHITE HANGING HEART T-LIGHT HOLDER,22219,LOVEBIRD HANGING DECORATION WHITE,0.0155,0.0963,2.8082,moderate,0,AX
22189,CREAM HEART CARD HOLDER,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0174,0.4491,2.7812,moderate,0,AZ
85123A,WHITE HANGING HEART T-LIGHT HOLDER,22189,CREAM HEART CARD HOLDER,0.0174,0.1076,2.7812,moderate,0,AX
22384,LUNCH BAG PINK POLKADOT,85099B,JUMBO BAG RED RETROSPOT,0.0204,0.3251,2.7374,moderate,0,AX
85099B,JUMBO BAG RED RETROSPOT,22384,LUNCH BAG PINK POLKADOT,0.0204,0.1717,2.7374,moderate,0,AX
21212,PACK OF 72 RETROSPOT CAKE CASES,20725,LUNCH BAG RED RETROSPOT,0.023,0.2471,2.7101,moderate,0,AX
20725,LUNCH BAG RED RETROSPOT,21212,PACK OF 72 RETROSPOT CAKE CASES,0.023,0.252,2.7101,moderate,0,AX
20725,LUNCH BAG RED RETROSPOT,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0161,0.1761,2.6942,moderate,0,AX
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,20725,LUNCH BAG RED RETROSPOT,0.0161,0.2457,2.6942,moderate,0,AX
22383,LUNCH BAG SUKI  DESIGN,85099B,JUMBO BAG RED RETROSPOT,0.0224,0.3125,2.6312,moderate,0,AX
85099B,JUMBO BAG RED RETROSPOT,22383,LUNCH BAG SUKI  DESIGN,0.0224,0.1882,2.6312,moderate,0,AX
22197,SMALL POPCORN HOLDER,21212,PACK OF 72 RETROSPOT CAKE CASES,0.0166,0.2441,2.6244,moderate,0,AY
21212,PACK OF 72 RETROSPOT CAKE CASES,22197,SMALL POPCORN HOLDER,0.0166,0.1784,2.6244,moderate,0,AX
84836,ZINC METAL HEART DECORATION,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0176,0.4203,2.6032,moderate,0,AY
85123A,WHITE HANGING HEART T-LIGHT HOLDER,84836,ZINC METAL HEART DECORATION,0.0176,0.1092,2.6032,moderate,0,AX
85123A,WHITE HANGING HEART T-LIGHT HOLDER,82482,WOODEN PICTURE FRAME WHITE FINISH,0.0249,0.154,2.5807,moderate,0,AX
82482,WOODEN PICTURE FRAME WHITE FINISH,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0249,0.4167,2.5807,moderate,0,AX
85123A,WHITE HANGING HEART T-LIGHT HOLDER,82494L,WOODEN FRAME ANTIQUE WHITE,0.0251,0.1555,2.5345,moderate,0,AX
82494L,WOODEN FRAME ANTIQUE WHITE,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0251,0.4092,2.5345,moderate,0,AX
85099B,JUMBO BAG RED RETROSPOT,20726,LUNCH BAG WOODLAND,0.0171,0.144,2.5104,moderate,0,AX
20726,LUNCH BAG WOODLAND,85099B,JUMBO BAG RED RETROSPOT,0.0171,0.2981,2.5104,moderate,0,AY
85099B,JUMBO BAG RED RETROSPOT,20728,LUNCH BAG CARS BLUE,0.0182,0.1531,2.4857,moderate,0,AX
20728,LUNCH BAG CARS BLUE,85099B,JUMBO BAG RED RETROSPOT,0.0182,0.2952,2.4857,moderate,0,AY
21755,LOVE BUILDING BLOCK WORD,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0201,0.3983,2.467,moderate,0,AX
85123A,WHITE HANGING HEART T-LIGHT HOLDER,21755,LOVE BUILDING BLOCK WORD,0.0201,0.1246,2.467,moderate,0,AX
20727,LUNCH BAG  BLACK SKULL.,85099B,JUMBO BAG RED RETROSPOT,0.0203,0.2896,2.4382,moderate,0,AY
85099B,JUMBO BAG RED RETROSPOT,20727,LUNCH BAG  BLACK SKULL.,0.0203,0.1706,2.4382,moderate,0,AX
